cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group,ENST_ID,ENSG_ID,transcript_type,biotype_class,has_CDS,canonical_tx,cds_diff_bp,ct_count,multi_ct,ad_prior_category,ad_prior_flag,ad_ot_score,ad_ot_label,ad_ot_genetic,ad_ot_lit,ad_specificity,has_structural_feat,n_domains,domain_names,uniprot_acc,proxy_type,splice_in_cds,composite_score,tier
Excitatory_neuron,PPP2R5C-201,PPP2R5C,0.7631578947368421,0.1818181818181818,2.346886285806883e-12,1.769018536156028e-11,True,0.5813397129186604,AD_enriched,0.0277777777777777,True,792.0,58,12,8.9853,3.7376,1.0757,Minor,Alternate,new_target_candidate,ENST00000328724,ENSG00000078304,protein_coding,PC_CDS,True,PPP2R5C-202,349,1,False,none,False,0.241,supported,0.0,0.2289,2.732,False,0,,,D,True,0.697,1
Astrocyte,SPG7-268,SPG7,0.2275641025641025,0.936,9.279535227875966e-123,6.514233729968927e-120,True,-0.7084358974358975,CT_enriched,0.0111888111888111,True,715.0,71,702,80.8756,536.9827,-2.7161,Dominant,Canonical,trial_failure_candidate,ENST00000645818,ENSG00000197912,protein_coding,PC_CDS,True,SPG7-202,857,1,False,none,False,0.0642,emerging,0.0,0.2401,0.968,False,0,,,D,True,0.6878,1
Oligodendrocyte,CHD1-205,CHD1,0.3125,0.0147058823529411,1.2821542477717537e-23,1.901906422064629e-22,True,0.2977941176470589,AD_enriched,0.0095238095238095,True,210.0,15,2,13.9815,0.6049,3.2227,Minor,Alternate,new_target_candidate,ENST00000511067,ENSG00000153922,protein_coding,PC_CDS,True,CHD1-211,264,2,True,none,False,0.2511,supported,0.4095,0.0712,16.1,False,0,,,D,True,0.6838,1
Inhibitory_neuron,NDRG1-201,NDRG1,0.1739130434782608,0.7352941176470589,6.937721405120366e-10,4.061772926486876e-09,True,-0.5613810741687981,CT_enriched,0.0156954156954156,True,6435.0,16,25,10.8112,17.2947,-0.6313,Dominant,Canonical,trial_failure_candidate,ENST00000323851,ENSG00000104419,protein_coding,PC_CDS,True,NDRG1-222,142,1,False,none,False,0.0785,emerging,0.0,0.1294,0.881,False,0,,,D,True,0.6791,1
Astrocyte,NAPB-201,NAPB,0.5054945054945055,0.9620253164556962,8.460272576428534e-17,7.372842868581244e-16,True,-0.4565308109611907,CT_enriched,0.006060606060606,True,495.0,46,152,51.6426,503.6891,-3.2611,Dominant,Canonical,trial_failure_candidate,ENST00000377026,ENSG00000125814,protein_coding,PC_CDS,True,NAPB-202,244,1,False,none,False,0.0575,emerging,0.0,0.0464,2.313,False,0,,,D,True,0.6749,1
Inhibitory_neuron,HGF-211,HGF,0.7551020408163265,0.2947368421052631,6.77597494821421e-07,2.7424943832039995e-06,True,0.4603651987110634,AD_enriched,0.0151515151515151,True,462.0,37,28,14.8498,8.2815,0.772,Minor,Alternate,new_target_candidate,ENST00000643024,ENSG00000019991,protein_coding,PC_CDS,True,HGF-209,1628,1,False,none,False,0.1086,emerging,0.0623,0.812,1.969,False,0,,,D,True,0.667,1
Inhibitory_neuron,MED23-205,MED23,0.2222222222222222,0.7560975609756098,2.181645734727254e-07,9.490832293512544e-07,True,-0.5338753387533876,CT_enriched,0.0212121212121212,True,330.0,12,31,3.4147,27.8569,-2.7085,Dominant,Canonical,trial_failure_candidate,ENST00000368068,ENSG00000112282,protein_coding,PC_CDS,True,MED23-201,156,1,False,none,False,0.062,emerging,0.0,0.5101,6.202,False,0,,,D,True,0.657,1
Inhibitory_neuron,DYM-220,DYM,0.2357512953367875,0.5684754521963824,1.669003904226891e-20,2.775765195289443e-19,True,-0.3327241568595949,CT_enriched,0.0101,True,10000.0,91,220,39.902,143.4855,-1.8207,Dominant,Canonical,trial_failure_candidate,ENST00000675505,ENSG00000141627,protein_coding,PC_CDS,True,DYM-201,165,1,False,none,False,0.2419,supported,0.3945,0.0685,21.078,False,0,,,D,True,0.65,1
OPC,HERPUD1-203,HERPUD1,0.4736842105263157,0.0303030303030303,5.076758954489559e-14,3.711021281090353e-13,True,0.4433811802232854,AD_enriched,0.0129870129870129,True,2002.0,45,3,23.8262,3.6558,2.4148,Minor,Alternate,new_target_candidate,ENST00000379792,ENSG00000051108,protein_coding,PC_CDS,True,HERPUD1-204,75,1,False,none,False,0.065,emerging,0.0,0.5344,2.939,False,0,,,D,True,0.6487,1
Inhibitory_neuron,transcript184301.chr8.nic,NDRG1,0.717391304347826,0.1176470588235294,6.937721405120366e-10,4.061772926486876e-09,True,0.5997442455242966,AD_enriched,0.0261072261072261,True,6435.0,66,4,169.6144,1.78,5.9395,Minor,Alternate,new_target_candidate,transcript184301.chr8.nic,ENSG00000104419,,novel,False,NDRG1-222,738,1,False,none,False,0.0785,emerging,0.0,0.1294,0.881,False,0,,,D,True,0.6478,1
Inhibitory_neuron,PRKD1-201,PRKD1,0.0166666666666666,0.6666666666666666,5.331522879197939e-11,3.5405330969279127e-10,True,-0.65,CT_enriched,0.0242424242424242,True,495.0,1,20,0.1008,4.8134,-2.4008,Dominant,Canonical,trial_failure_candidate,ENST00000331968,ENSG00000184304,protein_coding,PC_CDS,True,PRKD1-202,24,1,False,none,False,0.057,emerging,0.0895,0.0847,3.15,False,0,,,D,True,0.6463,1
Excitatory_neuron,BRSK2-207,BRSK2,0.4722222222222222,0.0137931034482758,1.1902121072058584e-19,1.811625424122565e-18,True,0.4584291187739464,AD_enriched,0.0454545454545454,True,330.0,17,2,4.9947,0.5102,1.9889,Minor,Alternate,new_target_candidate,ENST00000528710,ENSG00000174672,protein_coding,PC_CDS,True,BRSK2-201,234,1,False,none,False,0.3775,supported,0.2928,0.1333,3.14,False,0,,,D,True,0.6387,1
Excitatory_neuron,DYRK1A-210,DYRK1A,0.4166666666666667,0.0,2.032978420331327e-05,6.46053581335578e-05,True,0.4166666666666667,AD_enriched,0.0181818181818181,True,330.0,20,0,5.7894,0.0,2.7633,Minor,Alternate,new_target_candidate,ENST00000643624,ENSG00000157540,protein_coding,PC_CDS,True,DYRK1A-201,152,1,False,none,False,0.1291,emerging,0.0,0.96,1.041,False,0,,,D,True,0.6385,1
Excitatory_neuron,OGG1-206,OGG1,0.2947368421052631,0.0,2.435309720956628e-06,8.992010333547819e-06,True,0.2947368421052631,AD_enriched,0.013,True,10000.0,28,0,1.8208,0.0,1.4961,Minor,Alternate,new_target_candidate,ENST00000352937,ENSG00000114026,protein_coding,PC_CDS,True,OGG1-201,201,1,False,none,False,0.4888,supported,0.0,0.8816,13.735,False,0,,,D,True,0.6378,1
OPC,NCOA1-206,NCOA1,0.2954545454545454,0.0377358490566037,6.5620841588221855e-09,2.6859193552753145e-08,True,0.2577186963979417,AD_enriched,0.0,True,21.0,13,2,8.1354,2.1801,1.5224,Minor,Alternate,new_target_candidate,ENST00000407230,ENSG00000084676,protein_coding,PC_CDS,True,NCOA1-202,611,2,True,none,False,0.0849,emerging,0.0,0.5944,2.313,False,0,,,D,True,0.6329,1
Excitatory_neuron,transcript160449.chr6.nic,FYN,0.58,0.021505376344086,4.376924560049193e-13,3.5602667321592788e-12,True,0.558494623655914,AD_enriched,0.0378787878787878,True,1716.0,29,2,4.9542,2.289,0.8563,Minor,Alternate,new_target_candidate,transcript160449.chr6.nic,ENSG00000010810,,novel,False,FYN-202,1158,1,False,none,False,0.1259,emerging,0.0,0.8928,0.677,False,0,,,D,True,0.6283,1
OPC,SOD2-206,SOD2,0.5714285714285714,0.0396825396825396,1.1677929957853442e-13,8.126943102563719e-13,True,0.5317460317460319,AD_enriched,0.0436507936507936,True,252.0,20,5,11.8631,4.2284,1.2988,Minor,Alternate,new_target_candidate,ENST00000452684,ENSG00000291237,protein_coding,PC_CDS,False,SOD2-210,500,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,,D,True,0.619,1
Vascular_cell,ZNF462-204,ZNF462,0.3392857142857143,0.0,2.686577377312773e-06,8.489584512308363e-06,True,0.3392857142857143,AD_enriched,0.0285714285714285,True,35.0,19,0,59.7668,0.0,5.9252,Minor,Alternate,new_target_candidate,ENST00000441147,ENSG00000148143,protein_coding,PC_CDS,True,ZNF462-201,3428,1,False,none,False,0.3479,supported,0.0,0.0,2.777,False,0,,,D,True,0.6179,1
Excitatory_neuron,SORT1-209,SORT1,0.5774647887323944,0.2182741116751269,1.715459122924203e-18,2.3444608013297438e-17,True,0.3591906770572675,AD_enriched,0.0075757575757575,True,3432.0,82,43,13.2541,13.352,-0.0099,Minor,Alternate,new_target_candidate,ENST00000538502,ENSG00000134243,protein_coding,PC_CDS,True,SORT1-201,137,1,False,none,False,0.0739,emerging,0.0,0.6079,1.305,False,0,,,D,True,0.6174,1
Excitatory_neuron,JARID2-202,JARID2,0.375,0.0,6.293959022207172e-19,8.946503275454002e-18,True,0.375,AD_enriched,0.0267,True,10000.0,45,0,6.2868,0.0,2.8653,Minor,Alternate,new_target_candidate,ENST00000397311,ENSG00000008083,protein_coding,PC_CDS,True,JARID2-201,625,1,False,none,False,0.2163,supported,0.3538,0.0401,21.631,False,0,,,D,True,0.617,1
Inhibitory_neuron,PLCB4-214,PLCB4,0.9703703703703704,0.1875,2.387155766657592e-45,1.979232972414044e-43,True,0.7828703703703704,AD_enriched,0.0357142857142857,True,56.0,262,6,55.1972,3.8338,3.5393,Minor,Alternate,new_target_candidate,ENST00000684997,ENSG00000101333,protein_coding,PC_CDS,True,PLCB4-203,87,1,False,none,False,0.0686,emerging,0.0,0.1372,1.574,False,0,,,D,True,0.6157,1
Astrocyte,ZNF106-202,ZNF106,0.5143338954468802,0.8723404255319149,1.243420829616801e-17,1.1795694897175598e-16,True,-0.3580065300850347,CT_enriched,0.007,True,10000.0,305,164,384.1977,418.5774,-0.1233,Dominant,Canonical,trial_failure_candidate,ENST00000564754,ENSG00000103994,protein_coding,PC_CDS,True,ZNF106-201,263,1,False,none,False,0.0613,emerging,0.0,0.0,0.753,False,0,,,D,True,0.6142,1
Excitatory_neuron,CHD1-205,CHD1,0.6239316239316239,0.2470588235294117,1.2494828339782493e-17,1.5685985383022516e-16,True,0.3768728004022122,AD_enriched,0.0491,True,10000.0,292,42,108.6965,19.8428,2.3959,Minor,Alternate,new_target_candidate,ENST00000511067,ENSG00000153922,protein_coding,PC_CDS,True,CHD1-211,264,2,True,none,False,0.2511,supported,0.4095,0.0712,16.1,False,0,,,D,True,0.6125,1
Excitatory_neuron,SPP1-203,SPP1,0.4009216589861751,0.9119718309859156,9.581217976233716e-33,3.614871229012008e-31,True,-0.5110501719997405,CT_enriched,0.0433,True,10000.0,87,259,34.9836,277.5791,-2.9527,Dominant,Canonical,trial_failure_candidate,ENST00000395080,ENSG00000118785,protein_coding,PC_CDS,True,SPP1-201,42,1,False,none,False,0.119,emerging,0.0,0.9621,1.376,False,0,,,D,True,0.6098,1
Vascular_cell,SOD2-206,SOD2,0.6842105263157895,0.127906976744186,3.465099841996339e-12,3.128490143059551e-11,True,0.5563035495716036,AD_enriched,0.0476190476190476,True,210.0,52,11,657.0981,131.5328,2.312,Minor,Alternate,new_target_candidate,ENST00000452684,ENSG00000291237,protein_coding,PC_CDS,False,SOD2-210,500,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,,D,True,0.6071,1
Vascular_cell,transcript45371.chr2.nnic,CYP1B1,0.358695652173913,0.0,6.185551579681812e-19,1.1340226876142479e-17,True,0.358695652173913,AD_enriched,0.0303030303030303,True,462.0,33,0,274.28,0.0,8.1048,Minor,Alternate,new_target_candidate,transcript45371.chr2.nnic,ENSG00000138061,,novel,False,CYP1B1-205,0,1,False,none,False,0.2451,supported,0.3682,0.6989,5.905,False,0,,,D,False,0.606,1
OPC,RORA-204,RORA,0.3669724770642202,0.0446428571428571,3.521193878327296e-09,1.5071540759448106e-08,True,0.3223296199213631,AD_enriched,0.009,True,10000.0,40,5,40.6544,4.8828,2.8239,Minor,Alternate,new_target_candidate,ENST00000449337,ENSG00000069667,protein_coding,PC_CDS,True,RORA-203,30,1,False,none,False,0.1001,emerging,0.0,0.3863,0.93,False,0,,,D,True,0.5998,1
Inhibitory_neuron,CKAP2-201,CKAP2,0.1103448275862069,0.5467625899280576,4.582943487452065e-16,5.29480233242925e-15,True,-0.4364177623418507,CT_enriched,0.0277222777222777,True,8008.0,16,76,9.6364,26.9877,-1.3958,Dominant,Canonical,trial_failure_candidate,ENST00000258607,ENSG00000136108,protein_coding,PC_CDS,True,CKAP2-202,497,1,False,none,False,0.0625,emerging,0.0882,0.2918,6.25,False,0,,,D,True,0.5995,1
Inhibitory_neuron,GMEB1-203,GMEB1,0.5736434108527132,0.9214285714285714,9.195577585068174e-11,5.91159252276104e-10,True,-0.3477851605758582,CT_enriched,0.0128205128205128,True,1716.0,74,129,12.7628,106.6792,-2.9679,Dominant,Canonical,trial_failure_candidate,ENST00000373816,ENSG00000162419,protein_coding,PC_CDS,True,GMEB1-201,30,1,False,none,False,0.0852,emerging,0.1402,0.0,8.522,False,0,,,D,True,0.5986,1
Inhibitory_neuron,HGF-201,HGF,0.1632653061224489,0.5052631578947369,6.77597494821421e-07,2.7424943832039995e-06,True,-0.3419978517722879,CT_enriched,0.0151515151515151,True,462.0,8,48,3.8511,20.3238,-2.1361,Dominant,Canonical,trial_failure_candidate,ENST00000222390,ENSG00000019991,protein_coding,PC_CDS,True,HGF-209,15,1,False,none,False,0.1086,emerging,0.0623,0.812,1.969,False,0,,,D,True,0.5959,1
Inhibitory_neuron,ATP1A3-214,ATP1A3,0.6894904458598726,0.9726402188782488,1.1206731337669009e-45,1.0190895368028688e-43,True,-0.2831497730183762,CT_enriched,0.0023310023310023,True,1287.0,433,711,86.6302,212.1872,-1.2826,Dominant,Canonical,trial_failure_candidate,ENST00000648268,ENSG00000105409,protein_coding,PC_CDS,True,ATP1A3-207,39,1,False,none,False,0.0968,emerging,0.0,0.6505,1.035,False,0,,,D,True,0.5952,1
Excitatory_neuron,LARP4-202,LARP4,0.382716049382716,0.0219780219780219,2.4489442722767e-10,1.500031236896255e-09,True,0.3607380274046941,AD_enriched,0.0337995337995338,True,1716.0,31,2,4.9961,0.5927,1.9126,Minor,Alternate,new_target_candidate,ENST00000347328,ENSG00000161813,protein_coding,PC_CDS,True,LARP4-201,426,1,False,none,False,0.2361,supported,0.3867,0.0334,23.61,False,0,,,D,True,0.5937,1
Excitatory_neuron,transcript214326.chr4.nic,DCTD,0.3934426229508196,0.0476190476190476,6.639457016531308e-05,0.0001950048389989,True,0.345823575331772,AD_enriched,0.0108780108780108,True,1287.0,24,2,5.819,1.3765,1.5207,Minor,Alternate,new_target_candidate,transcript214326.chr4.nic,ENSG00000129187,,novel,False,DCTD-202,350,1,False,none,False,0.0537,emerging,0.0878,0.0122,5.372,False,0,,,D,True,0.5928,1
Inhibitory_neuron,transcript98598.chr4.nic,CLOCK,0.7768924302788844,0.256,2.101716404041397e-21,3.66856875727102e-20,True,0.5208924302788844,AD_enriched,0.0481740481740481,True,6435.0,195,32,47.0263,19.2575,1.2454,Minor,Alternate,new_target_candidate,transcript98598.chr4.nic,ENSG00000134852,,novel,False,CLOCK-201,2314,1,False,none,False,0.1099,emerging,0.0,0.9017,1.158,False,0,,,D,True,0.5921,1
Inhibitory_neuron,ETV1-205,ETV1,0.5185185185185185,0.1379310344827586,0.0001055782741065,0.000306671978059,True,0.3805874840357599,AD_enriched,0.0428571428571428,True,70.0,28,8,7.7649,4.3862,0.7025,Minor,Alternate,new_target_candidate,ENST00000405218,ENSG00000006468,protein_coding,PC_CDS,True,ETV1-204,69,1,False,none,False,0.2757,supported,0.4244,0.035,2.19,False,0,,,D,True,0.5917,1
Excitatory_neuron,transcript290195.chr1.nnic,CRB1,0.8455882352941176,0.3333333333333333,3.1777456368993253e-18,4.25597891391416e-17,True,0.5122549019607843,AD_enriched,0.0454545454545454,True,330.0,115,13,19.8929,4.3515,1.965,Minor,Alternate,new_target_candidate,transcript290195.chr1.nnic,ENSG00000134376,,novel,False,CRB1-202,3669,1,False,none,False,0.0717,emerging,0.0,0.5758,7.165,False,0,,,D,True,0.5875,1
Inhibitory_neuron,COPG2-201,COPG2,0.5135135135135135,0.1173184357541899,3.307223697195098e-17,4.3770251654427123e-16,True,0.3961950777593236,AD_enriched,0.0454545454545454,True,220.0,133,21,42.0734,4.6363,2.934,Minor,Alternate,new_target_candidate,ENST00000330992,ENSG00000158623,protein_coding,PC_CDS,True,COPG2-202,508,1,False,none,False,0.2527,supported,0.0,0.0165,2.686,False,0,,,D,True,0.5856,1
OPC,ZC3H13-206,ZC3H13,0.24,0.5944055944055944,7.35687630908285e-10,3.367453477753696e-09,True,-0.3544055944055944,CT_enriched,0.0260989010989011,True,8008.0,30,85,38.3401,97.7315,-1.3275,Dominant,Canonical,trial_failure_candidate,ENST00000679008,ENSG00000123200,protein_coding,PC_CDS,True,ZC3H13-202,365,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,,D,True,0.5843,1
Inhibitory_neuron,DCLK1-202,DCLK1,0.0864864864864864,0.419753086419753,2.219172927789448e-17,2.993228939444236e-16,True,-0.3332665999332666,CT_enriched,0.0221445221445221,True,1716.0,16,34,3.3843,17.5926,-2.0843,Dominant,Canonical,trial_failure_candidate,ENST00000360631,ENSG00000133083,protein_coding,PC_CDS,True,DCLK1-201,74,1,False,none,False,0.1513,emerging,0.0,0.125,2.128,False,0,,,D,True,0.584,1
Astrocyte,SCAPER-207,SCAPER,0.3800223214285714,0.6602809706257982,2.166849250611597e-38,8.00593775752285e-37,True,-0.2802586491972267,CT_enriched,0.0153,True,10000.0,681,517,666.7418,848.2609,-0.3469,Dominant,Canonical,trial_failure_candidate,ENST00000563290,ENSG00000140386,protein_coding,PC_CDS,True,SCAPER-203,766,1,False,none,False,0.1844,emerging,0.3033,0.0,16.062,False,0,,,D,True,0.5837,1
Oligodendrocyte,TARS2-213,TARS2,0.3571428571428571,0.0350877192982456,2.2246173530793265e-07,7.804643206233739e-07,True,0.3220551378446115,AD_enriched,0.0202020202020202,True,792.0,15,4,7.4386,1.5282,1.7389,Minor,Alternate,new_target_candidate,ENST00000606933,ENSG00000143374,protein_coding,PC_CDS,True,TARS2-204,246,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,,D,True,0.5826,1
Inhibitory_neuron,CACNA1D-214,CACNA1D,0.2810810810810811,0.0180505415162454,7.737123029702396e-38,4.1152735510813306e-36,True,0.2630305395648357,AD_enriched,0.0259,True,10000.0,104,5,91.6051,1.1468,5.4308,Minor,Alternate,new_target_candidate,ENST00000636627,ENSG00000157388,protein_coding,PC_CDS,True,CACNA1D-203,1956,1,False,none,False,0.2812,supported,0.0,0.1183,4.277,False,0,,,D,True,0.5739,1
Excitatory_neuron,transcript89853.chr2.nic,C2orf42,0.4285714285714285,0.0106382978723404,3.7532842603011524e-17,4.504576185840289e-16,True,0.4179331306990881,AD_enriched,0.0454545454545454,True,462.0,27,1,1.7279,0.243,1.134,Minor,Alternate,new_target_candidate,transcript89853.chr2.nic,ENSG00000115998,,novel,False,C2orf42-201,693,1,False,none,False,0.1748,emerging,0.2875,0.0,17.478,False,0,,,D,True,0.5727,1
Excitatory_neuron,TRIM33-202,TRIM33,0.4131147540983607,0.1492063492063492,1.0171956977069248e-23,2.0792418109035205e-22,True,0.2639084048920115,AD_enriched,0.0263,True,10000.0,126,47,25.2039,13.0622,0.898,Minor,Alternate,new_target_candidate,ENST00000369543,ENSG00000197323,protein_coding,PC_CDS,True,TRIM33-201,51,1,False,none,False,0.2691,supported,0.0,0.1092,2.724,False,0,,,D,True,0.5691,1
Inhibitory_neuron,KIF1B-214,KIF1B,0.6037735849056604,1.0,4.799447000428581e-07,1.988191196797673e-06,True,-0.3962264150943396,CT_enriched,0.0317460317460317,True,126.0,32,67,17.9473,59.008,-1.6632,Dominant,Canonical,trial_failure_candidate,ENST00000676179,ENSG00000054523,protein_coding,PC_CDS,True,KIF1B-205,3431,1,False,none,False,0.073,emerging,0.0434,0.2192,0.824,False,0,,,D,True,0.5668,1
Excitatory_neuron,transcript64585.chr15.nnic,SLC27A2,0.2826086956521739,0.0,1.0306204596899292e-19,1.5891719392566664e-18,True,0.2826086956521739,AD_enriched,0.0079365079365079,True,126.0,13,0,0.7613,0.0,0.8166,Minor,Alternate,new_target_candidate,transcript64585.chr15.nnic,ENSG00000140284,,novel,False,SLC27A2-201,1208,1,False,none,False,0.0575,emerging,0.0912,0.0675,5.118,False,0,,,D,True,0.5649,1
Inhibitory_neuron,PLEC-210,PLEC,0.4222222222222222,0.0210526315789473,6.086096243597681e-12,4.5934953977782756e-11,True,0.4011695906432749,AD_enriched,0.0333333333333333,True,210.0,19,2,11.3749,0.3865,3.1578,Minor,Alternate,new_target_candidate,ENST00000527303,ENSG00000178209,protein_coding,PC_CDS,True,PLEC-201,3574,1,False,none,False,0.066,emerging,0.0976,0.2191,0.947,False,0,,,D,True,0.5627,1
Excitatory_neuron,GPNMB-201,GPNMB,0.6357142857142857,0.9402985074626866,3.882123274124593e-05,0.0001186380886831,True,-0.3045842217484009,CT_enriched,0.0248640248640248,True,1287.0,89,63,58.765,37.3163,0.6413,Dominant,Canonical,trial_failure_candidate,ENST00000258733,ENSG00000136235,protein_coding,PC_CDS,True,GPNMB-202,36,1,False,none,False,0.102,emerging,0.0,0.8313,0.43,False,0,,,D,True,0.5422,1
Inhibitory_neuron,transcript230311.chr1.nnic,ARNT,0.25,0.0,0.0002893797181164,0.0007798866399333,True,0.25,AD_enriched,0.0367965367965368,True,462.0,9,0,4.0614,0.0,2.3395,Minor,Alternate,new_target_candidate,transcript230311.chr1.nnic,ENSG00000143437,,novel,False,ARNT-202,2255,1,False,none,False,0.3547,supported,0.0,0.0762,2.73,False,0,,,D,True,0.5396,1
OPC,TARS2-213,TARS2,0.3666666666666666,0.064516129032258,0.0114462703432968,0.0195855404105232,True,0.3021505376344086,AD_enriched,0.0317460317460317,True,252.0,11,2,20.3534,6.3602,1.5367,Minor,Alternate,new_target_candidate,ENST00000606933,ENSG00000143374,protein_coding,PC_CDS,True,TARS2-204,246,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,,D,True,0.5361,1
Excitatory_neuron,CTNNA1-243,CTNNA1,0.3581081081081081,0.065359477124183,4.52231318678232e-10,2.6663979579257683e-09,True,0.2927486309839251,AD_enriched,0.0389,True,10000.0,106,10,19.8806,4.2812,1.9832,Minor,Alternate,new_target_candidate,ENST00000540387,ENSG00000044115,protein_coding,PC_CDS,True,CTNNA1-201,1038,1,False,none,False,0.2253,supported,0.3682,0.0483,22.528,False,0,,,D,True,0.534,1
