cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,tx_role_mane,candidate_group,ENST_ID,ENSG_ID,transcript_type,biotype_class,junior_pass,has_CDS,canonical_tx,cds_diff_bp,ct_count,multi_ct,ad_prior_category,ad_prior_flag,ad_ot_score,ad_ot_label,ad_ot_genetic,ad_ot_lit,ad_specificity,has_structural_feat,n_domains,domain_names,uniprot_acc,proxy_type,splice_in_cds
Astrocyte,ARID4B-202,ARID4B,0.335632183908046,0.0956521739130434,1.7437280914464222e-27,3.565331418044821e-26,True,0.2399800099950026,AD_enriched,0.0417582417582417,True,5005.0,146,11,137.9965,44.8173,1.6011,Minor,Alternate,new_target_candidate,ENST00000349213,ENSG00000054267,protein_coding,PC_CDS,True,True,ARID4B-201,258,1,False,none,False,0.0078,novel,0.0,0.0643,0.438,True,2,"ARID, Tudor-knot",Q4LE39,C,True
Astrocyte,ATF6-210,ATF6,0.3191489361702128,0.0,8.477204254225835e-11,4.1908432299060117e-10,True,0.3191489361702128,AD_enriched,0.002020202020202,True,495.0,15,0,21.351,0.0,4.4823,Minor,Alternate,new_target_candidate,ENST00000680688,ENSG00000118217,protein_coding,PC_CDS,True,True,ATF6-201,57,1,False,none,False,0.0407,novel,0.0,0.3272,1.116,True,1,bZIP,P18850,C,True
Astrocyte,ATF6-201,ATF6,0.4468085106382978,0.975609756097561,8.477204254225835e-11,4.1908432299060117e-10,True,-0.5288012454592632,CT_enriched,0.008080808080808,True,495.0,21,80,25.4937,77.7352,-1.5714,Dominant,Canonical,trial_failure_candidate,ENST00000367942,ENSG00000118217,protein_coding,PC_CDS,True,True,ATF6-201,0,1,False,none,False,0.0407,novel,0.0,0.3272,1.116,True,1,bZIP,P18850,C,False
Astrocyte,ATOSA-216,ATOSA,0.056,0.4166666666666667,1.2927140289428817e-07,4.499926851163155e-07,True,-0.3606666666666667,CT_enriched,0.029040404040404,True,792.0,7,20,6.6306,228.6493,-4.9115,Dominant,Canonical,trial_failure_candidate,ENST00000619572,ENSG00000047346,protein_coding,PC_CDS,True,True,ATOSA-216,0,1,False,none,False,0.0,novel,0.0,0.0,0.0,False,0,,Q32MH5,D,False
Astrocyte,BIRC6-201,BIRC6,0.4409448818897638,0.8872180451127819,4.156884777008909e-13,2.613253534442018e-12,True,-0.4462731632230181,CT_enriched,0.0489510489510489,True,5005.0,56,118,65.3577,768.6508,-3.5359,Dominant,Canonical,trial_failure_candidate,ENST00000421745,ENSG00000115760,protein_coding,PC_CDS,True,True,BIRC6-201,0,1,False,none,False,0.0153,novel,0.0,0.126,1.435,True,2,"Ubiquitin-like, UBC core",Q9NR09,C,False
Astrocyte,CCAR1-201,CCAR1,0.6842105263157895,0.95,8.831447213048051e-06,2.5270418248205428e-05,True,-0.2657894736842104,CT_enriched,0.0194805194805194,True,462.0,65,114,79.4604,192.5404,-1.2663,Dominant,Canonical,trial_failure_candidate,ENST00000265872,ENSG00000060339,protein_coding,PC_CDS,True,True,CCAR1-201,0,1,False,none,False,0.0024,novel,0.0,0.0,0.218,True,1,SAP,Q8IX12,C,False
Astrocyte,CELF2-209,CELF2,0.7127659574468085,0.282258064516129,8.150743309342481e-11,4.0389330375235927e-10,True,0.4305078929306795,AD_enriched,0.0313020313020313,True,3003.0,67,35,80.7476,147.687,-0.863,Minor,Alternate,new_target_candidate,ENST00000631460,ENSG00000048740,protein_coding,PC_CDS,True,True,CELF2-213,18,1,False,gwas,True,0.0308,novel,0.0,0.2536,2.366,True,3,"RRM 1, RRM 2, RRM 3",O95319,C,True
Astrocyte,CLINT1-201,CLINT1,0.5918367346938775,0.913793103448276,0.0013987126151529,0.0029694443220889,True,-0.3219563687543985,CT_enriched,0.0242424242424242,True,165.0,29,53,35.487,89.2975,-1.3073,Dominant,Canonical,trial_failure_candidate,ENST00000411809,ENSG00000113282,protein_coding,PC_CDS,True,True,CLINT1-201,0,1,False,none,False,0.3253,supported,0.461,0.0887,4.732,True,1,ENTH,Q14677,C,False
Astrocyte,COG4-201,COG4,0.1724137931034483,0.624113475177305,1.1294077917421604e-32,3.0108010245683416e-31,True,-0.4516996820738567,CT_enriched,0.0153846153846153,True,715.0,35,176,32.9688,103.546,-1.6219,Dominant,Canonical,trial_failure_candidate,ENST00000323786,ENSG00000103051,protein_coding,PC_CDS,True,True,COG4-201,0,1,False,none,False,0.0237,novel,0.0,0.195,2.371,False,0,,Q9H9E3,D,False
Astrocyte,CRAT-201,CRAT,0.1212121212121212,0.9655172413793104,2.2209293775342206e-32,5.703996669618377e-31,True,-0.8443051201671892,CT_enriched,0.0,True,8.0,24,56,47.7036,21.172,1.1353,Dominant,Canonical,trial_failure_candidate,ENST00000318080,ENSG00000095321,protein_coding,PC_CDS,True,True,CRAT-201,0,1,False,none,False,0.2539,supported,0.0,0.22,2.715,False,0,,P43155,D,False
Astrocyte,CREBZF-204,CREBZF,0.5608695652173913,0.84375,0.0005345945386339,0.001205413381545,True,-0.2828804347826087,CT_enriched,0.0411,True,10000.0,129,54,286.0353,162.278,0.8139,Dominant,Canonical,trial_failure_candidate,ENST00000527447,ENSG00000137504,protein_coding,PC_CDS,True,True,CREBZF-204,0,1,False,none,False,0.0037,novel,0.0,0.0304,0.37,True,1,bZIP,Q9NS37,C,False
Astrocyte,CYP4V2-201,CYP4V2,0.2554744525547445,0.7163120567375887,1.426305507060339e-13,9.445910056192056e-13,True,-0.4608376041828442,CT_enriched,0.0458430458430458,True,1287.0,35,101,38.5078,120.613,-1.6221,Dominant,Canonical,trial_failure_candidate,ENST00000378802,ENSG00000145476,protein_coding,PC_CDS,True,True,CYP4V2-201,0,1,False,none,False,0.0029,novel,0.0,0.0241,0.294,False,0,,Q6ZWL3,D,False
Astrocyte,DDX19A-201,DDX19A,0.2592592592592592,0.991304347826087,2.63323349095852e-24,4.33249197809269e-23,True,-0.7320450885668278,CT_enriched,0.0476190476190476,True,462.0,14,114,19.2244,179.0703,-3.1544,Dominant,Canonical,trial_failure_candidate,ENST00000302243,ENSG00000168872,protein_coding,PC_CDS,True,True,DDX19A-201,0,2,True,none,False,0.2404,supported,0.0313,0.0,2.715,True,2,"Helicase ATP-binding, Helicase C-terminal",Q9NUU7,C,False
Astrocyte,DICER1-201,DICER1,0.037037037037037,0.5882352941176471,1.1093890777156117e-13,7.464451749741462e-13,True,-0.5511982570806101,CT_enriched,0.0037878787878787,True,792.0,4,30,1.8925,83.2476,-4.8643,Dominant,Canonical,trial_failure_candidate,ENST00000343455,ENSG00000100697,protein_coding,PC_CDS,True,True,DICER1-201,0,1,False,none,False,0.0678,emerging,0.0,0.5497,1.372,True,7,"Helicase ATP-binding, Helicase C-terminal, Dicer dsRNA-binding fold",Q9UPY3,C,False
Astrocyte,DKC1-201,DKC1,0.0519480519480519,0.9154929577464788,2.454098907611681e-59,3.947548143369032e-57,True,-0.8635449057984269,CT_enriched,0.0277777777777777,True,36.0,16,65,16.1644,82.6492,-2.2849,Dominant,Canonical,trial_failure_candidate,ENST00000369550,ENSG00000130826,protein_coding,PC_CDS,True,True,DKC1-201,0,1,False,none,False,0.0099,novel,0.0,0.0817,0.993,True,1,PUA,O60832,C,False
Astrocyte,transcript90257.chr19.nnic,DPY19L3,0.5136363636363637,0.0,2.2323107503756607e-26,4.160395079903666e-25,True,0.5136363636363637,AD_enriched,0.0101010101010101,True,495.0,113,0,26.3225,0.0,4.772,Minor,Alternate,new_target_candidate,transcript90257.chr19.nnic,ENSG00000178904,,novel,True,False,DPY19L3-202,1886,1,False,none,False,0.0047,novel,0.0,0.0,0.47,False,0,,Q6ZPD9,D,True
Astrocyte,EHBP1-209,EHBP1,0.078125,0.5614035087719298,1.4380315775573658e-08,5.6187282047046615e-08,True,-0.4832785087719298,CT_enriched,0.0279720279720279,True,2002.0,5,32,4.7506,19.3265,-1.8216,Dominant,Canonical,trial_failure_candidate,ENST00000431489,ENSG00000115504,protein_coding,PC_CDS,True,True,EHBP1-209,0,1,False,none,False,0.0046,novel,0.0,0.0,0.321,True,3,"C2 NT-type, Calponin-homology (CH), bMERB",Q8NDI1,C,False
Astrocyte,EIF2B5-226,EIF2B5,0.2568807339449541,0.6063829787234043,2.3789780086351312e-18,2.42035153922009e-17,True,-0.3495022447784502,CT_enriched,0.0124320124320124,True,1287.0,28,57,32.177,59.0488,-0.856,Dominant,Canonical,trial_failure_candidate,ENST00000648915,ENSG00000145191,protein_coding,PC_CDS,True,True,EIF2B5-226,0,1,False,none,False,0.0703,emerging,0.0,0.1706,0.858,True,1,W2,Q13144,C,False
Astrocyte,EXOC4-201,EXOC4,0.2928571428571428,0.810126582278481,3.1533764946992397e-12,1.7948678102261075e-11,True,-0.5172694394213382,CT_enriched,0.0329670329670329,True,5005.0,41,64,52.8463,195.9313,-1.8708,Dominant,Canonical,trial_failure_candidate,ENST00000253861,ENSG00000131558,protein_coding,PC_CDS,True,True,EXOC4-201,0,2,True,none,False,0.2156,supported,0.0,0.08,2.66,False,0,,Q96A65,D,False
Astrocyte,EZR-201,EZR,0.7212643678160919,0.2938931297709923,2.109655460786431e-25,3.75746155757792e-24,True,0.4273712380450996,AD_enriched,0.0407092907092907,True,8008.0,251,77,277.6673,153.142,0.8543,Minor,Alternate,new_target_candidate,ENST00000337147,ENSG00000092820,protein_coding,PC_UTR,True,True,EZR-202,0,1,False,none,False,0.0496,novel,0.0,0.3791,3.171,True,1,FERM,P15311,N,False
Astrocyte,FAM234A-203,FAM234A,0.4078947368421052,0.9523809523809524,2.954742548502426e-17,2.6706814622944673e-16,True,-0.5444862155388472,CT_enriched,0.0489510489510489,True,1287.0,62,100,63.2203,171.8575,-1.4285,Dominant,Canonical,trial_failure_candidate,ENST00000399932,ENSG00000167930,protein_coding,PC_CDS,True,True,FAM234A-203,0,2,True,none,False,0.0,novel,0.0,0.0,0.0,False,0,,Q9H0X4,D,False
Astrocyte,FXR1-203,FXR1,0.7578125,0.2016460905349794,1.2783642611261852e-37,4.3423147321479774e-36,True,0.5561664094650206,AD_enriched,0.0093,True,10000.0,97,49,144.0514,21.9939,2.6572,Minor,Alternate,new_target_candidate,ENST00000445140,ENSG00000114416,protein_coding,PC_CDS,True,True,FXR1-202,92,1,False,none,False,0.0149,novel,0.0,0.0475,0.75,True,4,"Agenet-like 1, Agenet-like 2, KH 1",P51114,C,True
Astrocyte,GABRA2-202,GABRA2,0.6442048517520216,0.9302325581395348,4.5964542378283425e-34,1.2906843499821982e-32,True,-0.2860277063875132,CT_enriched,0.0022,True,10000.0,239,680,332.9161,1450.4742,-2.12,Dominant,Canonical,trial_failure_candidate,ENST00000381620,ENSG00000151834,protein_coding,PC_CDS,True,True,GABRA2-202,0,1,False,none,False,0.3015,supported,0.0,0.2697,2.465,False,0,,P47869,D,False
Astrocyte,GDAP1-201,GDAP1,0.25,0.7823834196891192,2.6353262881997404e-19,2.967912921362916e-18,True,-0.5323834196891192,CT_enriched,0.0223776223776223,True,5005.0,25,151,30.888,723.7697,-4.5064,Dominant,Canonical,trial_failure_candidate,ENST00000220822,ENSG00000104381,protein_coding,PC_CDS,True,True,GDAP1-201,0,1,False,none,False,0.0566,emerging,0.0,0.2099,1.219,True,2,"GST N-terminal, GST C-terminal",Q8TB36,C,False
Astrocyte,GORASP1-201,GORASP1,0.0507246376811594,0.6477272727272727,2.3891382858294323e-38,8.67504349992549e-37,True,-0.5970026350461133,CT_enriched,0.0,True,21.0,7,57,17.0721,36.0063,-1.034,Dominant,Canonical,trial_failure_candidate,ENST00000319283,ENSG00000114745,protein_coding,PC_CDS,True,True,GORASP1-201,0,1,False,none,False,0.0093,novel,0.0,0.0763,0.392,True,2,"PDZ GRASP-type 1, PDZ GRASP-type 2",Q9BQQ3,C,False
Astrocyte,HCFC2-201,HCFC2,0.7058823529411765,1.0,9.271227164320644e-05,0.0002305218938377,True,-0.2941176470588235,CT_enriched,0.0,True,126.0,24,65,41.7058,168.0607,-1.985,Dominant,Canonical,trial_failure_candidate,ENST00000229330,ENSG00000111727,protein_coding,PC_CDS,True,True,HCFC2-201,0,1,False,none,False,0.0102,novel,0.0,0.0836,1.016,True,3,"Fibronectin type-III 1, Fibronectin type-III 2, Fibronectin type-III 3",Q9Y5Z7,C,False
Astrocyte,HNRNPM-202,HNRNPM,0.3934426229508196,0.0514705882352941,2.086985654362307e-09,8.969779159361261e-09,True,0.3419720347155255,AD_enriched,0.0053946053946053,True,5005.0,24,7,44.2758,11.6846,1.8357,Minor,Alternate,new_target_candidate,ENST00000348943,ENSG00000099783,protein_coding,PC_CDS,True,True,HNRNPM-201,117,1,False,none,False,0.0209,novel,0.0,0.1718,1.135,True,3,"RRM 1, RRM 2, RRM 3",P52272,C,True
Astrocyte,HSP90B1-201,HSP90B1,0.2692307692307692,0.5512465373961218,3.5377218541876115e-14,2.483480741639703e-13,True,-0.2820157681653526,CT_enriched,0.0193,True,10000.0,70,199,100.454,380.3668,-1.9104,Dominant,Canonical,trial_failure_candidate,ENST00000299767,ENSG00000166598,protein_coding,PC_CDS,True,True,HSP90B1-201,0,1,False,none,False,0.0758,emerging,0.0,0.6102,3.511,False,0,,P14625,D,False
Astrocyte,HSPD1-221,HSPD1,0.2545454545454545,0.0313479623824451,2.9687986461829183e-16,2.5009159795444904e-15,True,0.2231974921630094,AD_enriched,0.0416,True,10000.0,42,10,48.8578,11.7162,1.9711,Minor,Alternate,new_target_candidate,ENST00000678621,ENSG00000144381,protein_coding,PC_UTR,True,True,HSPD1-202,0,1,False,none,False,0.0773,emerging,0.0,0.4155,0.859,False,0,,P10809,N,False
Astrocyte,IFNAR1-201,IFNAR1,0.0769230769230769,0.4931506849315068,3.83564028925295e-07,1.280167741547815e-06,True,-0.4162276080084299,CT_enriched,0.0012626262626262,True,792.0,4,36,7.6859,104.3498,-3.6004,Dominant,Canonical,trial_failure_candidate,ENST00000270139,ENSG00000142166,protein_coding,PC_CDS,True,True,IFNAR1-201,0,1,False,none,False,0.0812,emerging,0.0,0.2406,3.447,True,4,"Fibronectin type-III 1, Fibronectin type-III 2, Fibronectin type-III 3",P17181,C,False
Astrocyte,INTU-201,INTU,0.2054794520547945,0.717948717948718,1.7492274206761963e-08,6.747020051179617e-08,True,-0.5124692658939234,CT_enriched,0.0109890109890109,True,1001.0,30,28,50.3312,107.5699,-1.0807,Dominant,Canonical,trial_failure_candidate,ENST00000335251,ENSG00000164066,protein_coding,PC_CDS,True,True,INTU-201,0,2,True,none,False,0.0016,novel,0.0,0.0,0.157,True,1,PDZ,Q9ULD6,C,False
Astrocyte,JAKMIP3-205,JAKMIP3,0.2592592592592592,0.043010752688172,2.401905650603643e-13,1.5564348615911608e-12,True,0.2162485065710871,AD_enriched,0.0,True,10.0,14,4,16.7971,1.3957,2.8931,Minor,Alternate,new_target_candidate,ENST00000654224,ENSG00000188385,protein_coding_CDS_not_defined,PC_CDS_ND,True,False,JAKMIP3-226,2490,1,False,none,False,0.0111,novel,0.0,0.0912,0.987,False,0,,Q5VZ66,D,True
Astrocyte,KIAA1191-202,KIAA1191,0.4848484848484848,0.2121212121212121,4.191766763725339e-06,1.2665510479778428e-05,True,0.2727272727272727,AD_enriched,0.0151515151515151,True,462.0,16,21,37.2174,29.7591,0.3132,Minor,Alternate,new_target_candidate,ENST00000393725,ENSG00000122203,protein_coding,PC_CDS,True,True,KIAA1191-201,179,1,False,none,False,0.0,novel,0.0,0.0,0.0,False,0,,Q96A73,D,True
Astrocyte,transcript17860.chr22.nnic,KIAA1671,0.3428571428571428,0.1428571428571428,0.001334410892799,0.0028357914634053,True,0.2,AD_enriched,0.0142857142857142,True,210.0,12,8,15.592,13.7927,0.1656,Minor,Alternate,new_target_candidate,transcript17860.chr22.nnic,ENSG00000197077,,novel,True,False,KIAA1671-201,3801,1,False,none,False,0.0,novel,0.0,0.0,0.0,False,0,,Q9BY89,D,True
Astrocyte,LRSAM1-202,LRSAM1,0.5476190476190477,0.0,2.177036402924016e-11,1.132058929520488e-10,True,0.5476190476190477,AD_enriched,0.0363636363636363,True,55.0,69,0,96.3685,0.0,6.6054,Minor,Alternate,new_target_candidate,ENST00000323301,ENSG00000148356,protein_coding,PC_UTR,True,True,LRSAM1-201,0,1,False,none,False,0.0046,novel,0.0,0.0381,0.113,True,1,SAM,Q6UWE0,N,False
Astrocyte,MED16-203,MED16,0.9681274900398408,0.4437869822485207,2.7153056837308703e-34,7.727613202617855e-33,True,0.5243405077913201,AD_enriched,0.0359640359640359,True,1001.0,243,75,333.3118,91.8746,1.8478,Minor,Alternate,new_target_candidate,ENST00000395808,ENSG00000175221,protein_coding,PC_CDS,True,True,MED16-202,84,1,False,none,False,0.0136,novel,0.0,0.0608,1.359,False,0,,Q9Y2X0,D,True
Astrocyte,MED16-202,MED16,0.0278884462151394,0.5562130177514792,2.7153056837308703e-34,7.727613202617855e-33,True,-0.5283245715363398,CT_enriched,0.0359640359640359,True,1001.0,7,94,8.3554,35.8591,-1.9782,Dominant,Canonical,trial_failure_candidate,ENST00000325464,ENSG00000175221,protein_coding,PC_CDS,True,True,MED16-202,0,1,False,none,False,0.0136,novel,0.0,0.0608,1.359,False,0,,Q9Y2X0,D,False
Astrocyte,MROH1-207,MROH1,0.5694444444444444,0.0082644628099173,1.2551032162765504e-27,2.6699468418973894e-26,True,0.5611799816345271,AD_enriched,0.0303030303030303,True,330.0,41,1,17.2222,3.4091,2.0472,Minor,Alternate,new_target_candidate,ENST00000528919,ENSG00000179832,protein_coding,PC_UTR,True,True,MROH1-201,0,1,False,none,False,0.0244,novel,0.036,0.0,2.435,False,0,,Q8NDA8,N,False
Astrocyte,NAPB-201,NAPB,0.5054945054945055,0.9620253164556962,8.460272576428534e-17,7.372842868581244e-16,True,-0.4565308109611907,CT_enriched,0.006060606060606,True,495.0,46,152,51.6426,503.6891,-3.2611,Dominant,Canonical,trial_failure_candidate,ENST00000377026,ENSG00000125814,protein_coding,PC_CDS,True,True,NAPB-201,0,1,False,none,False,0.0575,emerging,0.0,0.0464,2.313,False,0,,Q9H115,D,False
Astrocyte,NAPB-202,NAPB,0.4725274725274725,0.0379746835443038,8.460272576428534e-17,7.372842868581244e-16,True,0.4345527889831687,AD_enriched,0.0101010101010101,True,495.0,43,6,42.6358,19.0264,1.1236,Minor,Alternate,new_target_candidate,ENST00000398425,ENSG00000125814,protein_coding,PC_CDS,True,True,NAPB-201,244,1,False,none,False,0.0575,emerging,0.0,0.0464,2.313,False,0,,Q9H115,D,True
Astrocyte,transcript106850.chr13.nnic,NAXD,0.6746031746031746,0.0920245398773006,1.0933811150900324e-35,3.3862656299700123e-34,True,0.582578634725874,AD_enriched,0.0202020202020202,True,1287.0,85,15,548.6056,19.3293,4.7568,Minor,Alternate,new_target_candidate,transcript106850.chr13.nnic,ENSG00000213995,,novel,True,False,NAXD-206,793,1,False,none,False,0.0037,novel,0.0,0.0,0.23,True,1,YjeF C-terminal,Q8IW45,C,True
Astrocyte,PADI2-202,PADI2,0.3529411764705882,0.9032258064516128,8.670381871724753e-06,2.484329826102357e-05,True,-0.5502846299810246,CT_enriched,0.0317460317460317,True,126.0,12,28,10.5877,73.1955,-2.6787,Dominant,Canonical,trial_failure_candidate,ENST00000375486,ENSG00000117115,protein_coding,PC_CDS,True,True,PADI2-202,0,1,False,none,False,0.0421,novel,0.0,0.3467,0.823,False,0,,Q9Y2J8,D,False
Astrocyte,PAN2-203,PAN2,0.2424242424242424,0.8809523809523809,4.71571186915311e-10,2.1971878753178004e-09,True,-0.6385281385281385,CT_enriched,0.0357142857142857,True,84.0,16,37,19.5513,85.0383,-2.0657,Dominant,Canonical,trial_failure_candidate,ENST00000440411,ENSG00000135473,protein_coding,PC_CDS,True,True,PAN2-203,0,1,False,none,False,0.0,novel,0.0,0.0,0.0,True,2,"USP, Exonuclease",Q504Q3,C,False
Astrocyte,PCDH9-201,PCDH9,0.8024691358024691,0.463768115942029,1.5140266130485196e-11,8.072253283747297e-11,True,0.3387010198604401,AD_enriched,0.0489510489510489,True,1716.0,195,32,288.5262,141.169,1.0261,Minor,Alternate,new_target_candidate,ENST00000377861,ENSG00000184226,protein_coding,PC_UTR,True,False,,0,1,False,none,False,0.0696,emerging,0.0,0.2804,1.076,True,7,"Cadherin 1, Cadherin 2, Cadherin 3",Q9HC56,N,False
Astrocyte,PLA2G4C-201,PLA2G4C,0.2916666666666667,0.0,1.7123813393520553e-05,4.714085098922129e-05,True,0.2916666666666667,AD_enriched,0.0476190476190476,True,21.0,14,0,22.5689,0.0,4.5588,Minor,Alternate,new_target_candidate,ENST00000354276,ENSG00000105499,protein_coding,PC_CDS,True,True,PLA2G4C-222,151,1,False,none,False,0.0,novel,0.0,0.0,0.0,True,1,PLA2c,Q9UP65,C,True
