transcript_name,gene_name,cell_type,isoform_role,usage_direction,tx_role_mane
CPT2-201,CPT2,Astrocyte,Dominant,AD_enriched,Canonical
CPT2-207,CPT2,Astrocyte,Minor,CT_enriched,Alternate
CRAT-201,CRAT,Astrocyte,Dominant,CT_enriched,Canonical
CREBZF-204,CREBZF,Astrocyte,Dominant,CT_enriched,Canonical
CRELD1-259,CRELD1,Astrocyte,Dominant,CT_enriched,Alternate
CRELD1-207,CRELD1,Astrocyte,Minor,AD_enriched,Alternate
CSDE1-202,CSDE1,Astrocyte,Dominant,CT_enriched,Alternate
CSDE1-224,CSDE1,Astrocyte,Minor,AD_enriched,Alternate
CSNK1A1-202,CSNK1A1,Astrocyte,Minor,AD_enriched,Canonical
CSNK1A1-207,CSNK1A1,Astrocyte,Dominant,CT_enriched,Alternate
CSNK2A1-226,CSNK2A1,Astrocyte,Minor,AD_enriched,Alternate
CTNNB1-202,CTNNB1,Astrocyte,Dominant,CT_enriched,Alternate
CTSB-240,CTSB,Astrocyte,Dominant,CT_enriched,Alternate
CUL4B-202,CUL4B,Astrocyte,Minor,AD_enriched,Canonical
CYP4V2-201,CYP4V2,Astrocyte,Dominant,CT_enriched,Canonical
transcript134055.chr17.nic,CYTH1,Astrocyte,Minor,CT_enriched,Alternate
DCLRE1C-222,DCLRE1C,Astrocyte,Minor,CT_enriched,Alternate
DDX19A-209,DDX19A,Astrocyte,Minor,AD_enriched,Alternate
DDX19A-201,DDX19A,Astrocyte,Dominant,CT_enriched,Canonical
DDX3X-239,DDX3X,Astrocyte,Dominant,CT_enriched,Alternate
DICER1-201,DICER1,Astrocyte,Dominant,CT_enriched,Canonical
DKC1-201,DKC1,Astrocyte,Dominant,CT_enriched,Canonical
DPH2-201,DPH2,Astrocyte,Minor,AD_enriched,Canonical
DPH2-209,DPH2,Astrocyte,Dominant,CT_enriched,Alternate
transcript90257.chr19.nnic,DPY19L3,Astrocyte,Minor,AD_enriched,Alternate
EFCAB14-203,EFCAB14,Astrocyte,Dominant,CT_enriched,Alternate
EHBP1-209,EHBP1,Astrocyte,Dominant,CT_enriched,Canonical
EIF2B5-226,EIF2B5,Astrocyte,Dominant,CT_enriched,Canonical
EMSY-201,EMSY,Astrocyte,Dominant,CT_enriched,Alternate
ENO2-211,ENO2,Astrocyte,Dominant,CT_enriched,Alternate
ENO2-201,ENO2,Astrocyte,Minor,AD_enriched,Canonical
EPM2A-DT-216,EPM2A-DT,Astrocyte,Dominant,CT_enriched,no_MANE_coverage
ERCC6L2-211,ERCC6L2,Astrocyte,Dominant,CT_enriched,Alternate
transcript154759.chr4.nic,ETNPPL,Astrocyte,Minor,CT_enriched,Alternate
EXOC4-205,EXOC4,Astrocyte,Minor,AD_enriched,Alternate
EXOC4-201,EXOC4,Astrocyte,Dominant,CT_enriched,Canonical
EZR-201,EZR,Astrocyte,Minor,AD_enriched,Alternate
FAM234A-203,FAM234A,Astrocyte,Dominant,CT_enriched,Canonical
FAS-225,FAS,Astrocyte,Minor,AD_enriched,Alternate
FBXO3-208,FBXO3,Astrocyte,Minor,CT_enriched,Alternate
FKBP15-203,FKBP15,Astrocyte,Dominant,CT_enriched,Alternate
FXR1-203,FXR1,Astrocyte,Minor,AD_enriched,Alternate
FXR1-223,FXR1,Astrocyte,Dominant,CT_enriched,Alternate
G3BP1-237,G3BP1,Astrocyte,Minor,AD_enriched,Alternate
GAA-202,GAA,Astrocyte,Dominant,CT_enriched,Alternate
GABRA2-202,GABRA2,Astrocyte,Dominant,CT_enriched,Canonical
GASK1A-213,GASK1A,Astrocyte,Minor,AD_enriched,Alternate
GDAP1-201,GDAP1,Astrocyte,Dominant,CT_enriched,Canonical
GDAP1-233,GDAP1,Astrocyte,Minor,AD_enriched,Alternate
transcript1348.chr17.nic,GLOD4,Astrocyte,Dominant,CT_enriched,Alternate
GMDS-DT-220,GMDS-DT,Astrocyte,Dominant,CT_enriched,no_MANE_coverage
GON4L-203,GON4L,Astrocyte,Minor,CT_enriched,Canonical
GORASP1-201,GORASP1,Astrocyte,Dominant,CT_enriched,Canonical
GTF3C1-201,GTF3C1,Astrocyte,Dominant,AD_enriched,Canonical
HARS1-218,HARS1,Astrocyte,Dominant,CT_enriched,Alternate
HAUS5-206,HAUS5,Astrocyte,Minor,AD_enriched,Alternate
HCFC2-201,HCFC2,Astrocyte,Dominant,CT_enriched,Canonical
HDAC6-206,HDAC6,Astrocyte,Minor,CT_enriched,Alternate
HDAC6-268,HDAC6,Astrocyte,Dominant,CT_enriched,Alternate
HERPUD1-201,HERPUD1,Astrocyte,Dominant,CT_enriched,Alternate
HERPUD1-204,HERPUD1,Astrocyte,Minor,AD_enriched,Canonical
HGF-209,HGF,Astrocyte,Dominant,CT_enriched,Alternate
HNRNPA1-237,HNRNPA1,Astrocyte,Dominant,CT_enriched,Alternate
HNRNPM-202,HNRNPM,Astrocyte,Minor,AD_enriched,Alternate
HPS1-257,HPS1,Astrocyte,Minor,AD_enriched,Alternate
HSP90B1-201,HSP90B1,Astrocyte,Dominant,CT_enriched,Canonical
HSPD1-221,HSPD1,Astrocyte,Minor,AD_enriched,Alternate
IFNAR1-201,IFNAR1,Astrocyte,Dominant,CT_enriched,Canonical
ILF3-216,ILF3,Astrocyte,Minor,CT_enriched,Alternate
INTU-201,INTU,Astrocyte,Dominant,CT_enriched,Canonical
JAKMIP3-205,JAKMIP3,Astrocyte,Minor,AD_enriched,Alternate
KANSL1-221,KANSL1,Astrocyte,Dominant,CT_enriched,Alternate
KIAA1191-202,KIAA1191,Astrocyte,Minor,AD_enriched,Alternate
transcript17860.chr22.nnic,KIAA1671,Astrocyte,Minor,AD_enriched,Alternate
transcript49941.chr20.nnic,KIAA1755,Astrocyte,Dominant,CT_enriched,Alternate
KIDINS220-218,KIDINS220,Astrocyte,Dominant,CT_enriched,Alternate
KLHL24-205,KLHL24,Astrocyte,Minor,CT_enriched,Alternate
KLHL24-201,KLHL24,Astrocyte,Dominant,AD_enriched,Canonical
KMT2C-234,KMT2C,Astrocyte,Minor,CT_enriched,Alternate
KMT2C-222,KMT2C,Astrocyte,Dominant,CT_enriched,Alternate
KNDC1-201,KNDC1,Astrocyte,Minor,AD_enriched,Canonical
KNDC1-223,KNDC1,Astrocyte,Dominant,CT_enriched,Alternate
LINC01094-218,LINC01094,Astrocyte,Dominant,CT_enriched,no_MANE_coverage
LMNA-242,LMNA,Astrocyte,Minor,AD_enriched,Alternate
LPIN1-209,LPIN1,Astrocyte,Dominant,CT_enriched,Alternate
LRSAM1-202,LRSAM1,Astrocyte,Minor,AD_enriched,Alternate
MACROH2A1-202,MACROH2A1,Astrocyte,Dominant,CT_enriched,Alternate
MAGED1-204,MAGED1,Astrocyte,Minor,CT_enriched,Alternate
MAPK8IP3-216,MAPK8IP3,Astrocyte,Minor,AD_enriched,Canonical
MAPK8IP3-207,MAPK8IP3,Astrocyte,Dominant,CT_enriched,Alternate
MBIP-203,MBIP,Astrocyte,Minor,AD_enriched,Canonical
MED16-203,MED16,Astrocyte,Minor,AD_enriched,Alternate
MED16-202,MED16,Astrocyte,Dominant,CT_enriched,Canonical
MEF2C-217,MEF2C,Astrocyte,Dominant,CT_enriched,Alternate
MEG3-228,MEG3,Astrocyte,Minor,CT_enriched,Alternate
MROH1-207,MROH1,Astrocyte,Minor,AD_enriched,Alternate
MROH1-208,MROH1,Astrocyte,Dominant,CT_enriched,Alternate
MYH10-214,MYH10,Astrocyte,Minor,AD_enriched,Alternate
MYLK-224,MYLK,Astrocyte,Dominant,CT_enriched,Alternate
MYLK-242,MYLK,Astrocyte,Minor,AD_enriched,Alternate
MYO5A-234,MYO5A,Astrocyte,Minor,CT_enriched,Alternate
NAMPT-216,NAMPT,Astrocyte,Dominant,CT_enriched,Alternate
NAPB-201,NAPB,Astrocyte,Dominant,CT_enriched,Canonical
NAPB-202,NAPB,Astrocyte,Minor,AD_enriched,Alternate
transcript106850.chr13.nnic,NAXD,Astrocyte,Minor,AD_enriched,Alternate
NECAP1-202,NECAP1,Astrocyte,Minor,AD_enriched,Alternate
NELL2-203,NELL2,Astrocyte,Minor,AD_enriched,Canonical
NINL-201,NINL,Astrocyte,Minor,AD_enriched,Canonical
NINL-213,NINL,Astrocyte,Dominant,CT_enriched,Alternate
NOTCH2NLA-208,NOTCH2NLA,Astrocyte,Minor,CT_enriched,Alternate
NRBP1-203,NRBP1,Astrocyte,Minor,CT_enriched,Canonical
NSD1-224,NSD1,Astrocyte,Dominant,CT_enriched,Alternate
ODR4-201,ODR4,Astrocyte,Dominant,AD_enriched,Canonical
OGT-215,OGT,Astrocyte,Minor,AD_enriched,Alternate
P4HTM-205,P4HTM,Astrocyte,Dominant,CT_enriched,Alternate
P4HTM-202,P4HTM,Astrocyte,Minor,AD_enriched,Canonical
PADI2-202,PADI2,Astrocyte,Dominant,CT_enriched,Canonical
PAN2-203,PAN2,Astrocyte,Dominant,CT_enriched,Canonical
PCDH9-204,PCDH9,Astrocyte,Dominant,CT_enriched,Alternate
PCDH9-201,PCDH9,Astrocyte,Minor,AD_enriched,Alternate
PCM1-217,PCM1,Astrocyte,Dominant,CT_enriched,Alternate
transcript141239.chr8.nnic,PDP1,Astrocyte,Minor,CT_enriched,Alternate
PDP1-201,PDP1,Astrocyte,Dominant,AD_enriched,Canonical
PIGQ-203,PIGQ,Astrocyte,Minor,AD_enriched,Canonical
PIGQ-201,PIGQ,Astrocyte,Dominant,CT_enriched,Alternate
PISD-202,PISD,Astrocyte,Minor,CT_enriched,Alternate
PLA2G4C-201,PLA2G4C,Astrocyte,Minor,AD_enriched,Alternate
PLA2G4C-222,PLA2G4C,Astrocyte,Dominant,CT_enriched,Canonical
PLEC-201,PLEC,Astrocyte,Dominant,CT_enriched,Alternate
transcript81375.chr8.nnic,PLPP5,Astrocyte,Dominant,AD_enriched,Alternate
PMPCB-201,PMPCB,Astrocyte,Dominant,CT_enriched,Canonical
POGZ-212,POGZ,Astrocyte,Dominant,CT_enriched,Alternate
POLA1-213,POLA1,Astrocyte,Dominant,CT_enriched,Alternate
PPP1R12B-204,PPP1R12B,Astrocyte,Dominant,CT_enriched,Alternate
PRPF38B-203,PRPF38B,Astrocyte,Dominant,CT_enriched,Canonical
PRPF40A-215,PRPF40A,Astrocyte,Dominant,CT_enriched,Alternate
PTAR1-202,PTAR1,Astrocyte,Minor,CT_enriched,Alternate
PTAR1-201,PTAR1,Astrocyte,Dominant,AD_enriched,Canonical
PTPRS-205,PTPRS,Astrocyte,Dominant,CT_enriched,Alternate
PUF60-202,PUF60,Astrocyte,Minor,AD_enriched,Alternate
transcript41732.chr17.nic,RAB34,Astrocyte,Dominant,CT_enriched,Alternate
RANBP2-201,RANBP2,Astrocyte,Dominant,CT_enriched,Canonical
RANGAP1-201,RANGAP1,Astrocyte,Minor,AD_enriched,Canonical
RBL2-201,RBL2,Astrocyte,Dominant,CT_enriched,Canonical
RBL2-209,RBL2,Astrocyte,Minor,AD_enriched,Alternate
RBM25-201,RBM25,Astrocyte,Dominant,CT_enriched,Canonical
RBM25-212,RBM25,Astrocyte,Minor,AD_enriched,Alternate
RFX3-212,RFX3,Astrocyte,Dominant,CT_enriched,Canonical
transcript151070.chr12.nic,RFX4,Astrocyte,Dominant,CT_enriched,Alternate
transcript151198.chr12.nic,RFX4,Astrocyte,Minor,AD_enriched,Alternate
RGS3-231,RGS3,Astrocyte,Dominant,CT_enriched,Canonical
RIC8A-203,RIC8A,Astrocyte,Dominant,AD_enriched,Canonical
RIC8A-201,RIC8A,Astrocyte,Minor,CT_enriched,Alternate
RNASEH2C-205,RNASEH2C,Astrocyte,Minor,AD_enriched,Alternate
RNF6-203,RNF6,Astrocyte,Minor,AD_enriched,Canonical
RNF6-201,RNF6,Astrocyte,Dominant,CT_enriched,Alternate
RNPS1-203,RNPS1,Astrocyte,Dominant,CT_enriched,Alternate
RORA-207,RORA,Astrocyte,Minor,CT_enriched,Alternate
RSPRY1-202,RSPRY1,Astrocyte,Minor,AD_enriched,Alternate
RSPRY1-201,RSPRY1,Astrocyte,Dominant,CT_enriched,Canonical
SATB1-201,SATB1,Astrocyte,Minor,AD_enriched,Canonical
SCAPER-207,SCAPER,Astrocyte,Dominant,CT_enriched,Canonical
SEC14L2-214,SEC14L2,Astrocyte,Dominant,CT_enriched,Canonical
SERPINB6-211,SERPINB6,Astrocyte,Dominant,CT_enriched,Alternate
SHOC2-214,SHOC2,Astrocyte,Minor,AD_enriched,Alternate
SLC14A1-203,SLC14A1,Astrocyte,Minor,CT_enriched,Alternate
SLC14A1-201,SLC14A1,Astrocyte,Dominant,AD_enriched,Canonical
transcript46624.chr21.nic,SLC19A1,Astrocyte,Dominant,CT_enriched,Alternate
transcript236530.chr1.nic,SLC27A3,Astrocyte,Dominant,CT_enriched,Alternate
SLC2A1-208,SLC2A1,Astrocyte,Minor,CT_enriched,Alternate
SLC2A11-220,SLC2A11,Astrocyte,Minor,AD_enriched,Alternate
SNX14-235,SNX14,Astrocyte,Minor,CT_enriched,Alternate
SPATA20-205,SPATA20,Astrocyte,Dominant,CT_enriched,Alternate
SPECC1L-201,SPECC1L,Astrocyte,Dominant,AD_enriched,Canonical
SPG7-268,SPG7,Astrocyte,Dominant,CT_enriched,Canonical
SPG7-223,SPG7,Astrocyte,Minor,AD_enriched,Alternate
SPG7-250,SPG7,Astrocyte,Minor,AD_enriched,Alternate
SPTAN1-206,SPTAN1,Astrocyte,Minor,AD_enriched,Alternate
SPTAN1-210,SPTAN1,Astrocyte,Dominant,CT_enriched,Alternate
SRRM2-225,SRRM2,Astrocyte,Dominant,CT_enriched,Alternate
SRSF10-214,SRSF10,Astrocyte,Dominant,CT_enriched,Canonical
ST3GAL1-206,ST3GAL1,Astrocyte,Minor,AD_enriched,Alternate
ST3GAL1-210,ST3GAL1,Astrocyte,Dominant,CT_enriched,Canonical
ST3GAL5-222,ST3GAL5,Astrocyte,Dominant,CT_enriched,Canonical
STAT3-201,STAT3,Astrocyte,Dominant,CT_enriched,Canonical
STMN1-207,STMN1,Astrocyte,Minor,CT_enriched,Alternate
STX16-206,STX16,Astrocyte,Minor,AD_enriched,Canonical
STXBP5-211,STXBP5,Astrocyte,Minor,AD_enriched,Alternate
SYT1-201,SYT1,Astrocyte,Dominant,CT_enriched,Canonical
SYT1-202,SYT1,Astrocyte,Minor,AD_enriched,Alternate
TAF1-219,TAF1,Astrocyte,Dominant,CT_enriched,Alternate
TKT-207,TKT,Astrocyte,Dominant,AD_enriched,Canonical
TNKS1BP1-202,TNKS1BP1,Astrocyte,Minor,AD_enriched,Alternate
TNKS1BP1-201,TNKS1BP1,Astrocyte,Dominant,CT_enriched,Canonical
TNPO1-204,TNPO1,Astrocyte,Minor,CT_enriched,Alternate
TNPO2-203,TNPO2,Astrocyte,Minor,AD_enriched,Alternate
TNPO2-218,TNPO2,Astrocyte,Dominant,CT_enriched,Alternate
transcript166032.chr8.nic,TRPS1,Astrocyte,Dominant,AD_enriched,Alternate
TSC1-226,TSC1,Astrocyte,Dominant,CT_enriched,Alternate
TUT7-206,TUT7,Astrocyte,Dominant,CT_enriched,Canonical
TUT7-201,TUT7,Astrocyte,Minor,AD_enriched,Alternate
UBE3A-227,UBE3A,Astrocyte,Dominant,CT_enriched,Alternate
UBR2-202,UBR2,Astrocyte,Dominant,AD_enriched,Canonical
UBR2-201,UBR2,Astrocyte,Minor,CT_enriched,Alternate
UBR4-204,UBR4,Astrocyte,Dominant,AD_enriched,Canonical
UGP2-202,UGP2,Astrocyte,Dominant,CT_enriched,Alternate
USP47-202,USP47,Astrocyte,Dominant,CT_enriched,Alternate
VEZT-213,VEZT,Astrocyte,Minor,CT_enriched,Alternate
VEZT-233,VEZT,Astrocyte,Minor,CT_enriched,Alternate
VPS13C-201,VPS13C,Astrocyte,Minor,AD_enriched,Alternate
VPS45-245,VPS45,Astrocyte,Minor,AD_enriched,Alternate
ZBTB20-201,ZBTB20,Astrocyte,Minor,CT_enriched,Alternate
ZDHHC3-205,ZDHHC3,Astrocyte,Dominant,CT_enriched,Canonical
ZDHHC3-202,ZDHHC3,Astrocyte,Minor,AD_enriched,Alternate
ZEB1-201,ZEB1,Astrocyte,Minor,AD_enriched,Alternate
ZGPAT-202,ZGPAT,Astrocyte,Minor,AD_enriched,Canonical
ZGPAT-209,ZGPAT,Astrocyte,Dominant,CT_enriched,Alternate
ZNF106-202,ZNF106,Astrocyte,Dominant,CT_enriched,Canonical
ZNF106-201,ZNF106,Astrocyte,Minor,AD_enriched,Alternate
ZNF274-206,ZNF274,Astrocyte,Minor,AD_enriched,Alternate
ZNF274-212,ZNF274,Astrocyte,Dominant,CT_enriched,Canonical
ZNF397-209,ZNF397,Astrocyte,Minor,AD_enriched,Alternate
ZNF397-202,ZNF397,Astrocyte,Dominant,CT_enriched,Canonical
ZNF514-208,ZNF514,Astrocyte,Dominant,CT_enriched,Alternate
ZNF587-201,ZNF587,Astrocyte,Dominant,CT_enriched,Canonical
ZNF706-209,ZNF706,Astrocyte,Minor,AD_enriched,Alternate
ZNF706-201,ZNF706,Astrocyte,Dominant,CT_enriched,Canonical
ZRANB2-204,ZRANB2,Astrocyte,Minor,AD_enriched,Alternate
ZSCAN12-202,ZSCAN12,Astrocyte,Dominant,CT_enriched,Alternate
ZSCAN12-203,ZSCAN12,Astrocyte,Minor,AD_enriched,Canonical
ABCA8-208,ABCA8,Excitatory_neuron,Dominant,CT_enriched,Canonical
ACADVL-203,ACADVL,Excitatory_neuron,Dominant,AD_enriched,Canonical
ACADVL-206,ACADVL,Excitatory_neuron,Minor,CT_enriched,Alternate
ACAP3-212,ACAP3,Excitatory_neuron,Minor,AD_enriched,Alternate
ACIN1-205,ACIN1,Excitatory_neuron,Dominant,AD_enriched,Alternate
ACIN1-213,ACIN1,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript59248.chr20.nnic,ACOT8,Excitatory_neuron,Minor,AD_enriched,Alternate
ACTR10-201,ACTR10,Excitatory_neuron,Dominant,CT_enriched,Canonical
ACVR2B-201,ACVR2B,Excitatory_neuron,Minor,CT_enriched,Canonical
transcript17744.chr19.nnic,ADAMTS10,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript222311.chr9.nnic,ADAMTS13,Excitatory_neuron,Dominant,AD_enriched,Alternate
ADGRV1-232,ADGRV1,Excitatory_neuron,Dominant,CT_enriched,Alternate
ADNP-204,ADNP,Excitatory_neuron,Minor,CT_enriched,Alternate
AGBL5-209,AGBL5,Excitatory_neuron,Minor,CT_enriched,Alternate
AMD1-209,AMD1,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript130800.chrX.nnic,AMOT,Excitatory_neuron,Minor,AD_enriched,Alternate
AMOT-203,AMOT,Excitatory_neuron,Dominant,CT_enriched,Canonical
AMZ1-201,AMZ1,Excitatory_neuron,Dominant,CT_enriched,Alternate
AMZ1-207,AMZ1,Excitatory_neuron,Minor,AD_enriched,Canonical
ANKRD13A-201,ANKRD13A,Excitatory_neuron,Minor,CT_enriched,Canonical
ANKRD13A-210,ANKRD13A,Excitatory_neuron,Dominant,AD_enriched,Alternate
transcript100227.chr11.nnic,ANKRD13D,Excitatory_neuron,Dominant,CT_enriched,Alternate
ANKRD6-211,ANKRD6,Excitatory_neuron,Minor,AD_enriched,Alternate
ANO5-208,ANO5,Excitatory_neuron,Minor,AD_enriched,Alternate
AP5S1-203,AP5S1,Excitatory_neuron,Minor,CT_enriched,Alternate
ARHGAP29-201,ARHGAP29,Excitatory_neuron,Dominant,CT_enriched,Canonical
ARL17B-203,ARL17B,Excitatory_neuron,Minor,AD_enriched,Alternate
ARMC8-213,ARMC8,Excitatory_neuron,Minor,AD_enriched,Alternate
ARPP21-236,ARPP21,Excitatory_neuron,Dominant,AD_enriched,Canonical
ASB8-205,ASB8,Excitatory_neuron,Dominant,CT_enriched,Alternate
ASB8-201,ASB8,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript274052.chr1.nic,ASTN1,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript192179.chr9.nic,ASTN2,Excitatory_neuron,Dominant,CT_enriched,Alternate
ASTN2-202,ASTN2,Excitatory_neuron,Minor,AD_enriched,Canonical
ATF4-203,ATF4,Excitatory_neuron,Minor,AD_enriched,Alternate
ATF4-201,ATF4,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript399236.chr2.nnic,ATG16L1,Excitatory_neuron,Dominant,CT_enriched,Alternate
ATP13A3-215,ATP13A3,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript18595.chr3.nic,ATP2B2,Excitatory_neuron,Minor,CT_enriched,Alternate
ATP2B3-208,ATP2B3,Excitatory_neuron,Minor,CT_enriched,Alternate
ATP5F1C-202,ATP5F1C,Excitatory_neuron,Dominant,CT_enriched,Canonical
ATXN7L2-207,ATXN7L2,Excitatory_neuron,Minor,AD_enriched,Canonical
transcript196875.chr3.nic,B4GALT4,Excitatory_neuron,Dominant,CT_enriched,Alternate
BBS1-210,BBS1,Excitatory_neuron,Minor,CT_enriched,Alternate
BBS1-201,BBS1,Excitatory_neuron,Dominant,AD_enriched,Canonical
BCL11A-219,BCL11A,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript171802.chr3.nic,BOC,Excitatory_neuron,Dominant,CT_enriched,Alternate
BPTF-215,BPTF,Excitatory_neuron,Dominant,CT_enriched,Alternate
BRD9-213,BRD9,Excitatory_neuron,Minor,AD_enriched,Alternate
BROX-201,BROX,Excitatory_neuron,Dominant,CT_enriched,Canonical
BRPF1-221,BRPF1,Excitatory_neuron,Dominant,CT_enriched,Alternate
BRSK2-207,BRSK2,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript4128.chr11.nic,BRSK2,Excitatory_neuron,Dominant,CT_enriched,Alternate
BTBD7-202,BTBD7,Excitatory_neuron,Minor,AD_enriched,Canonical
C1S-201,C1S,Excitatory_neuron,Dominant,CT_enriched,Alternate
C1orf131-206,C1orf131,Excitatory_neuron,Dominant,AD_enriched,Alternate
C1orf131-203,C1orf131,Excitatory_neuron,Minor,CT_enriched,Alternate
C2CD5-218,C2CD5,Excitatory_neuron,Dominant,CT_enriched,Alternate
transcript89853.chr2.nic,C2orf42,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript89854.chr2.nic,C2orf42,Excitatory_neuron,Dominant,CT_enriched,Alternate
CADM1-204,CADM1,Excitatory_neuron,Dominant,AD_enriched,Alternate
CAMK1G-202,CAMK1G,Excitatory_neuron,Dominant,AD_enriched,Canonical
transcript409071.chr2.nic,CAPN10,Excitatory_neuron,Minor,CT_enriched,Alternate
transcript29851.chr6.nnic,CARMIL1,Excitatory_neuron,Minor,CT_enriched,Alternate
CARMIL1-201,CARMIL1,Excitatory_neuron,Dominant,AD_enriched,Canonical
CASP3-206,CASP3,Excitatory_neuron,Dominant,AD_enriched,Alternate
CAV1-202,CAV1,Excitatory_neuron,Minor,AD_enriched,Alternate
CCDC107-202,CCDC107,Excitatory_neuron,Minor,AD_enriched,Alternate
CCDC138-208,CCDC138,Excitatory_neuron,Dominant,AD_enriched,Alternate
transcript213419.chr3.nic,CCDC14,Excitatory_neuron,Minor,AD_enriched,Alternate
transcript69178.chr4.nic,CCDC149,Excitatory_neuron,Minor,CT_enriched,Alternate
CCNB1IP1-201,CCNB1IP1,Excitatory_neuron,Minor,CT_enriched,Alternate
CCNB1IP1-202,CCNB1IP1,Excitatory_neuron,Dominant,AD_enriched,Canonical
CDC42BPA-204,CDC42BPA,Excitatory_neuron,Minor,AD_enriched,Alternate
CDH7-202,CDH7,Excitatory_neuron,Dominant,AD_enriched,Canonical
CDK11B-204,CDK11B,Excitatory_neuron,Minor,CT_enriched,Alternate
