cell_type,transcript_name,gene_name,AD,Control,chi_pval,chi_padj,chi_significant,delta_usage,usage_direction,permutation_pval,permutation_significant,n_valid_permutations,total_counts_AD,total_counts_CT,mean_CPM_AD,mean_CPM_CT,log2FC,isoform_role,gene_log2FC,gene_padj,dge_class,scenario_code,scenario_name,priority,dge_source
Astrocyte,ALDH3A2-202,ALDH3A2,0.3714285714285714,0.0227272727272727,1.469009148539404e-11,7.852114890416204e-11,True,0.3487012987012987,AD_enriched,0.0178571428571428,True,56.0,13,2,35.609,5.3902,2.5183,Minor,0.350431369718673,0.505736222456783,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,AMT-212,AMT,0.0082644628099173,0.2651515151515151,2.287026306199047e-12,1.3159774319276483e-11,True,-0.2568870523415978,CT_enriched,0.0444444444444444,True,45.0,1,35,0.2329,16.0173,-3.7868,Minor,-0.187750910472724,0.862673903656695,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,ANAPC5-201,ANAPC5,0.3676470588235294,0.8483606557377049,3.378574483882997e-16,2.834772056995057e-15,True,-0.4807135969141755,CT_enriched,0.0215617715617715,True,1716.0,25,207,31.4515,308.5809,-3.254,Dominant,-0.0545324782715434,0.912789456454816,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ANKRD44-204,ANKRD44,0.2631578947368421,0.0,7.276415563779133e-13,4.441777152846045e-12,True,0.2631578947368421,AD_enriched,0.0,True,6.0,10,0,9.9743,0.0,3.4561,Minor,-0.0466109003501714,0.937455246370907,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ANKRD44-201,ANKRD44,0.2105263157894736,0.967741935483871,7.276415563779133e-13,4.441777152846045e-12,True,-0.7572156196943974,CT_enriched,0.0,True,6.0,8,60,9.1027,20.9355,-1.1185,Dominant,-0.0466109003501714,0.937455246370907,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ANXA11-203,ANXA11,0.0505050505050505,0.8064516129032258,2.3827484682571305e-17,2.181768814847616e-16,True,-0.7559465623981753,CT_enriched,0.0357142857142857,True,28.0,5,25,7.1818,20.1484,-1.3701,Dominant,0.542537217894396,0.411063813199007,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ANXA11-202,ANXA11,0.9494949494949496,0.1935483870967742,2.3827484682571305e-17,2.181768814847616e-16,True,0.7559465623981754,AD_enriched,0.0357142857142857,True,28.0,94,6,70.0368,20.5215,1.7228,Minor,0.542537217894396,0.411063813199007,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,transcript88841.chr2.nic,APLF,0.1875,0.8857142857142857,9.226903060766676e-12,5.0735921268863246e-11,True,-0.6982142857142857,CT_enriched,0.0,True,6.0,9,31,9.2948,171.3053,-4.065,Dominant,0.225242978522663,0.727026839369497,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ARHGAP29-201,ARHGAP29,0.5363636363636364,0.9302325581395348,3.368561736500021e-05,8.878837317983784e-05,True,-0.3938689217758984,CT_enriched,0.0,True,495.0,118,40,52.1338,65.0027,-0.3129,Dominant,0.0930047499227451,0.912993723712056,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ARHGAP29-202,ARHGAP29,0.3909090909090909,0.0697674418604651,3.368561736500021e-05,8.878837317983784e-05,True,0.3211416490486257,AD_enriched,0.0404040404040404,True,495.0,86,3,59.928,1.0468,4.8957,Minor,0.0930047499227451,0.912993723712056,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ARHGEF10L-203,ARHGEF10L,0.8188405797101449,0.0053475935828877,6.945295828570074e-66,1.4626793014968577e-63,True,0.8134929861272572,AD_enriched,0.0277777777777777,True,36.0,113,1,45.5957,1.9811,3.9663,Minor,0.164366187649286,0.733133048358041,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ARHGEF26-202,ARHGEF26,0.8532110091743119,0.2588235294117647,4.958141177070142e-19,5.438461103598811e-18,True,0.5943874797625472,AD_enriched,0.0329670329670329,True,364.0,93,22,142.9076,36.0211,1.9587,Minor,0.0778374309764642,0.761114157693088,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ARHGEF26-204,ARHGEF26,0.0458715596330275,0.6470588235294118,4.958141177070142e-19,5.438461103598811e-18,True,-0.6011872638963843,CT_enriched,0.0137362637362637,True,364.0,5,55,1.1647,27.3518,-3.7112,Dominant,0.0778374309764642,0.761114157693088,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ARID1B-226,ARID1B,0.3777777777777777,0.1142857142857142,5.401881584516415e-07,1.7692632374792488e-06,True,0.2634920634920635,AD_enriched,0.0476190476190476,True,84.0,17,4,18.2192,50.8715,-1.4324,Minor,-0.0100581758641626,0.975004793254505,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ARID4A-202,ARID4A,0.2125,0.8461538461538461,1.9129766498050868e-09,8.340559636694771e-09,True,-0.6336538461538461,CT_enriched,0.0202020202020202,True,495.0,17,33,17.9832,38.8206,-1.0688,Dominant,-0.0046414407536968,0.992033431301278,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ARID4B-208,ARID4B,0.0689655172413793,0.4782608695652174,1.7437280914464222e-27,3.565331418044821e-26,True,-0.4092953523238381,CT_enriched,0.0079920079920079,True,5005.0,30,55,24.1033,48.0791,-0.9672,Dominant,0.255248596487144,0.267280964285563,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ARID4B-202,ARID4B,0.335632183908046,0.0956521739130434,1.7437280914464222e-27,3.565331418044821e-26,True,0.2399800099950026,AD_enriched,0.0417582417582417,True,5005.0,146,11,137.9965,44.8173,1.6011,Minor,0.255248596487144,0.267280964285563,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ASB3-202,ASB3,0.0179640718562874,0.2774193548387096,1.925068500789991e-20,2.427661235127977e-19,True,-0.2594552829824222,CT_enriched,0.0333333333333333,True,120.0,3,43,4.5409,20.7112,-1.9703,Minor,-0.103154841655153,0.830231857081325,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,transcript141883.chr17.nic,ASPSCR1,0.0153846153846153,0.7567567567567568,3.317220087015038e-23,4.954656385286291e-22,True,-0.7413721413721415,CT_enriched,0.0174825174825174,True,286.0,2,28,5.2928,22.0104,-1.8705,Dominant,0.17917512885638,0.720251855556557,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ATF6-210,ATF6,0.3191489361702128,0.0,8.477204254225835e-11,4.1908432299060117e-10,True,0.3191489361702128,AD_enriched,0.002020202020202,True,495.0,15,0,21.351,0.0,4.4823,Minor,0.148498444266964,0.71025285499486,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,ATF6-201,ATF6,0.4468085106382978,0.975609756097561,8.477204254225835e-11,4.1908432299060117e-10,True,-0.5288012454592632,CT_enriched,0.008080808080808,True,495.0,21,80,25.4937,77.7352,-1.5714,Dominant,0.148498444266964,0.71025285499486,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ATOSA-216,ATOSA,0.056,0.4166666666666667,1.2927140289428817e-07,4.499926851163155e-07,True,-0.3606666666666667,CT_enriched,0.029040404040404,True,792.0,7,20,6.6306,228.6493,-4.9115,Dominant,0.0355715158257002,0.957552396075369,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ATP6V0B-203,ATP6V0B,0.037037037037037,0.4561403508771929,2.867962154522545e-08,1.0882753689053117e-07,True,-0.4191033138401559,CT_enriched,0.0476190476190476,True,210.0,2,26,1.4266,10.7042,-2.27,Dominant,-0.741124718455309,0.567336439290455,down,DIDe,Dominant Isoform Depletion,trial_failure_explanation,SR
Astrocyte,ATP9B-201,ATP9B,0.0196078431372549,0.6875,2.1705484150278006e-10,1.0508448188617356e-09,True,-0.6678921568627451,CT_enriched,0.0,True,15.0,1,22,0.9472,7.6764,-2.1557,Dominant,0.184811469345614,0.485906782167149,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,BBS2-211,BBS2,0.0,0.2129186602870813,2.7956000205724512e-42,1.401793724601329e-40,True,-0.2129186602870813,CT_enriched,0.0326,True,10000.0,0,89,0.0,48.4378,-5.6275,Minor,0.0566514147685906,0.883215411709951,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,BIRC6-201,BIRC6,0.4409448818897638,0.8872180451127819,4.156884777008909e-13,2.613253534442018e-12,True,-0.4462731632230181,CT_enriched,0.0489510489510489,True,5005.0,56,118,65.3577,768.6508,-3.5359,Dominant,0.104910747513262,0.687641982672256,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,BLTP1-219,BLTP1,0.0915492957746478,0.5277777777777778,2.114927338309445e-20,2.6512124848093404e-19,True,-0.43622848200313,CT_enriched,0.0434565434565434,True,2002.0,26,38,42.1802,120.8619,-1.4968,Dominant,0.144909615593254,0.655583376307339,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,BRAF-204,BRAF,0.032258064516129,0.85,1.916823772155873e-09,8.340559636694771e-09,True,-0.817741935483871,CT_enriched,0.019047619047619,True,210.0,1,34,1.0328,28.9857,-3.8828,Dominant,0.113844691933304,0.665932947367656,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,BTBD8-205,BTBD8,0.6991150442477876,0.2131147540983606,1.7016859565408688e-10,8.295719038136736e-10,True,0.486000290149427,AD_enriched,0.0378787878787878,True,792.0,158,13,146.7804,27.46,2.3764,Minor,-0.0725281578534493,0.890536518712324,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CCAR1-201,CCAR1,0.6842105263157895,0.95,8.831447213048051e-06,2.5270418248205428e-05,True,-0.2657894736842104,CT_enriched,0.0194805194805194,True,462.0,65,114,79.4604,192.5404,-1.2663,Dominant,0.387048298449939,0.336958258997819,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CCDC82-206,CCDC82,0.0210526315789473,0.84375,6.652880958319108e-27,1.2854098438733982e-25,True,-0.8226973684210527,CT_enriched,0.0476190476190476,True,21.0,2,54,1.1802,105.3477,-5.6082,Dominant,0.178502564945103,0.624789446214132,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CCDC88A-247,CCDC88A,0.0226415094339622,0.3647058823529411,8.684097311512315e-34,2.3447062741083248e-32,True,-0.3420643729189789,CT_enriched,0.0233516483516483,True,8008.0,12,31,10.4921,184.6513,-4.0139,Dominant,0.390541612340063,0.267280964285563,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CELF2-209,CELF2,0.7127659574468085,0.282258064516129,8.150743309342481e-11,4.0389330375235927e-10,True,0.4305078929306795,AD_enriched,0.0313020313020313,True,3003.0,67,35,80.7476,147.687,-0.863,Minor,-0.0363807250616738,0.920934129892572,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CELF2-204,CELF2,0.1276595744680851,0.3467741935483871,8.150743309342481e-11,4.0389330375235927e-10,True,-0.219114619080302,CT_enriched,0.0476190476190476,True,3003.0,12,43,15.5152,108.2861,-2.7262,Dominant,-0.0363807250616738,0.920934129892572,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CEP68-219,CEP68,0.0,0.3418367346938775,5.155191365174744e-19,5.625302080340938e-18,True,-0.3418367346938775,CT_enriched,0.0367965367965368,True,462.0,0,67,0.0,23.378,-4.6075,Dominant,-0.0364884507646439,0.942935632820354,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CLASP2-207,CLASP2,0.5932203389830508,0.1058823529411764,7.924664617486674e-15,5.897294588136727e-14,True,0.4873379860418744,AD_enriched,0.0233100233100233,True,1287.0,35,9,44.9661,13.8314,1.6319,Minor,0.0863930390667779,0.82116017741969,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CLASP2-205,CLASP2,0.1525423728813559,0.8235294117647058,7.924664617486674e-15,5.897294588136727e-14,True,-0.67098703888335,CT_enriched,0.0069930069930069,True,1287.0,9,70,11.7896,63.429,-2.3327,Dominant,0.0863930390667779,0.82116017741969,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CLINT1-201,CLINT1,0.5918367346938775,0.913793103448276,0.0013987126151529,0.0029694443220889,True,-0.3219563687543985,CT_enriched,0.0242424242424242,True,165.0,29,53,35.487,89.2975,-1.3073,Dominant,0.241261334780175,0.602967649352332,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,COG4-201,COG4,0.1724137931034483,0.624113475177305,1.1294077917421604e-32,3.0108010245683416e-31,True,-0.4516996820738567,CT_enriched,0.0153846153846153,True,715.0,35,176,32.9688,103.546,-1.6219,Dominant,-0.111577484448224,0.778379930917476,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,COG4-222,COG4,0.3891625615763547,0.0390070921985815,1.1294077917421604e-32,3.0108010245683416e-31,True,0.3501554693777732,AD_enriched,0.0419580419580419,True,715.0,79,11,69.989,39.0548,0.8256,Minor,-0.111577484448224,0.778379930917476,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,COL9A1-201,COL9A1,0.6521739130434783,1.0,0.0029013371078042,0.0057971688321023,True,-0.3478260869565217,CT_enriched,0.0,True,36.0,30,32,32.5106,39.7027,-0.2805,Dominant,0.0045215587832996,,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,COPS7A-202,COPS7A,0.0169491525423728,0.6341463414634146,3.9517659029835214e-10,1.857682810643593e-09,True,-0.6171971889210418,CT_enriched,0.0427350427350427,True,1287.0,1,26,0.2329,58.5364,-5.5936,Dominant,-0.303152921765356,0.669490813301212,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CPT2-201,CPT2,0.9121621621621622,0.56,2.6641357411083164e-15,2.070357885894507e-14,True,0.3521621621621621,AD_enriched,0.0238095238095238,True,126.0,135,112,64.4207,102.0235,-0.6552,Dominant,-0.3461501114351,0.626160973413924,flat,DIR,Dominant Isoform Redistribution,,SR
Astrocyte,CPT2-207,CPT2,0.027027027027027,0.42,2.6641357411083164e-15,2.070357885894507e-14,True,-0.3929729729729729,CT_enriched,0.0238095238095238,True,126.0,4,84,2.614,54.5356,-3.9417,Minor,-0.3461501114351,0.626160973413924,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,CRAT-201,CRAT,0.1212121212121212,0.9655172413793104,2.2209293775342206e-32,5.703996669618377e-31,True,-0.8443051201671892,CT_enriched,0.0,True,8.0,24,56,47.7036,21.172,1.1353,Dominant,-0.233674633370196,0.758893938298176,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CREBZF-204,CREBZF,0.5608695652173913,0.84375,0.0005345945386339,0.001205413381545,True,-0.2828804347826087,CT_enriched,0.0411,True,10000.0,129,54,286.0353,162.278,0.8139,Dominant,-0.152493945725284,0.648965403365354,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CRELD1-259,CRELD1,0.0,0.2826855123674912,1.4015908666097372e-23,2.1704046802059604e-22,True,-0.2826855123674912,CT_enriched,0.0198,True,10000.0,0,80,0.0,136.2134,-7.1003,Dominant,-0.348611017093325,0.502061790466179,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CRELD1-207,CRELD1,0.3157894736842105,0.0494699646643109,1.4015908666097372e-23,2.1704046802059604e-22,True,0.2663195090198996,AD_enriched,0.0055,True,10000.0,30,14,35.1689,23.3129,0.573,Minor,-0.348611017093325,0.502061790466179,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CSDE1-202,CSDE1,0.3684210526315789,0.8105590062111802,4.382584116157709e-45,2.63706347103661e-43,True,-0.4421379535796012,CT_enriched,0.0139860139860139,True,1287.0,98,261,126.443,313.9876,-1.3054,Dominant,-0.0530088377953894,0.903616348432971,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CSDE1-224,CSDE1,0.3421052631578947,0.0217391304347826,4.382584116157709e-45,2.63706347103661e-43,True,0.3203661327231121,AD_enriched,0.0411810411810411,True,1287.0,91,7,86.1973,23.8634,1.8103,Minor,-0.0530088377953894,0.903616348432971,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CSNK1A1-202,CSNK1A1,0.4812030075187969,0.238095238095238,3.921339781711693e-16,3.277119674716201e-15,True,0.2431077694235589,AD_enriched,0.0375,True,10000.0,64,55,58.6654,52.3536,0.1613,Minor,0.0611149255663003,0.834918122967125,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CSNK1A1-207,CSNK1A1,0.0601503759398496,0.5151515151515151,3.921339781711693e-16,3.277119674716201e-15,True,-0.4550011392116655,CT_enriched,0.0094,True,10000.0,8,119,14.737,96.4432,-2.6304,Dominant,0.0611149255663003,0.834918122967125,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CSNK2A1-226,CSNK2A1,0.2954545454545454,0.0,5.938004806669125e-11,2.9917316083361667e-10,True,0.2954545454545454,AD_enriched,0.0151515151515151,True,462.0,13,0,13.6226,0.0,3.8701,Minor,-0.116561516459282,0.643220826317768,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CTNNB1-202,CTNNB1,0.0617977528089887,0.5615384615384615,1.2909744176052809e-21,1.7769883159978568e-20,True,-0.4997407087294728,CT_enriched,0.0386280386280386,True,3003.0,11,73,5.0927,64.9803,-3.4369,Dominant,0.139323238303973,0.794230947348761,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CTSB-240,CTSB,0.0,0.5588235294117647,4.265547697051661e-58,5.988828966660532e-56,True,-0.5588235294117647,CT_enriched,0.0237762237762237,True,715.0,0,76,0.0,26.5183,-4.7823,Dominant,-0.195115574001185,0.685680159525882,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,CUL4B-202,CUL4B,0.6065573770491803,0.0,2.931665121440857e-10,1.394085014508485e-09,True,0.6065573770491803,AD_enriched,0.0,True,28.0,37,0,70.979,0.0,6.1695,Minor,0.0804134904015513,0.886151665969968,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,CYP4V2-201,CYP4V2,0.2554744525547445,0.7163120567375887,1.426305507060339e-13,9.445910056192056e-13,True,-0.4608376041828442,CT_enriched,0.0458430458430458,True,1287.0,35,101,38.5078,120.613,-1.6221,Dominant,-0.261187875338955,0.64567510489555,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,transcript134055.chr17.nic,CYTH1,0.0,0.3157894736842105,1.974820835792066e-09,8.505056605681168e-09,True,-0.3157894736842105,CT_enriched,0.031080031080031,True,1287.0,0,24,0.0,19.7891,-4.3778,Minor,0.0896360780114087,0.822344227676962,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,DCLRE1C-222,DCLRE1C,0.0318181818181818,0.3252032520325203,3.439934205609766e-18,3.4497625890543654e-17,True,-0.2933850702143385,CT_enriched,0.0163170163170163,True,1287.0,7,40,8.7311,36.7107,-1.9543,Minor,-0.062387070130251,0.890423788252012,flat,MIEr,Minor Isoform Erosion,,SR
Astrocyte,DDX19A-209,DDX19A,0.7037037037037037,0.0,2.6332334909585202e-24,4.33249197809269e-23,True,0.7037037037037037,AD_enriched,0.0432900432900432,True,462.0,38,0,9.6516,0.0,3.413,Minor,0.498153596533159,0.51890272101072,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,DDX19A-201,DDX19A,0.2592592592592592,0.991304347826087,2.6332334909585202e-24,4.33249197809269e-23,True,-0.7320450885668278,CT_enriched,0.0476190476190476,True,462.0,14,114,19.2244,179.0703,-3.1544,Dominant,0.498153596533159,0.51890272101072,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,DDX3X-239,DDX3X,0.0077519379844961,0.3,7.139017196930494e-13,4.383314931992892e-12,True,-0.2922480620155039,CT_enriched,0.0016,True,10000.0,1,15,0.9545,5.2339,-1.6733,Dominant,-0.0859453867425417,0.852011863524642,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,DICER1-201,DICER1,0.037037037037037,0.5882352941176471,1.1093890777156117e-13,7.464451749741462e-13,True,-0.5511982570806101,CT_enriched,0.0037878787878787,True,792.0,4,30,1.8925,83.2476,-4.8643,Dominant,0.341039495318013,0.346320852942729,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,DKC1-201,DKC1,0.0519480519480519,0.9154929577464788,2.454098907611681e-59,3.947548143369032e-57,True,-0.8635449057984269,CT_enriched,0.0277777777777777,True,36.0,16,65,16.1644,82.6492,-2.2849,Dominant,-0.400038316392661,0.567342958790751,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,DPH2-201,DPH2,0.9894736842105264,0.2087912087912088,5.960977869637761e-27,1.1732541489212265e-25,True,0.7806824754193176,AD_enriched,0.0,True,36.0,94,19,894.1075,10.4345,6.2906,Minor,-0.623686213496192,,down,MIC,Minor Isoform Concentration,new_target_candidate,SR
Astrocyte,DPH2-209,DPH2,0.0105263157894736,0.7912087912087912,5.960977869637761e-27,1.1732541489212265e-25,True,-0.7806824754193176,CT_enriched,0.0,True,36.0,1,72,1.1936,32.7325,-3.9428,Dominant,-0.623686213496192,,down,DIDe,Dominant Isoform Depletion,trial_failure_explanation,SR
Astrocyte,transcript90257.chr19.nnic,DPY19L3,0.5136363636363637,0.0,2.2323107503756607e-26,4.160395079903666e-25,True,0.5136363636363637,AD_enriched,0.0101010101010101,True,495.0,113,0,26.3225,0.0,4.772,Minor,0.355586780398274,0.539367675557939,flat,MIR,Minor Isoform Redistribution,new_target_candidate,SR
Astrocyte,EFCAB14-203,EFCAB14,0.0126582278481012,0.6676136363636364,5.266794547440052e-52,5.041758780413068e-50,True,-0.6549554085155351,CT_enriched,0.0363636363636363,True,495.0,1,235,1.4429,81.9974,-5.0864,Dominant,-0.22532308774011,0.559322386040854,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,EHBP1-209,EHBP1,0.078125,0.5614035087719298,1.4380315775573658e-08,5.6187282047046615e-08,True,-0.4832785087719298,CT_enriched,0.0279720279720279,True,2002.0,5,32,4.7506,19.3265,-1.8216,Dominant,0.0536629188651581,0.87015932100328,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,EIF2B5-226,EIF2B5,0.2568807339449541,0.6063829787234043,2.3789780086351312e-18,2.42035153922009e-17,True,-0.3495022447784502,CT_enriched,0.0124320124320124,True,1287.0,28,57,32.177,59.0488,-0.856,Dominant,-0.188676052679866,0.759242988698225,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,EMSY-201,EMSY,0.4615384615384615,0.9906542056074766,7.5375661239811325e-28,1.6198075772555374e-26,True,-0.5291157440690151,CT_enriched,0.0238095238095238,True,210.0,42,212,55.8592,137.4409,-1.2838,Dominant,-0.0984679239397794,0.80129009288196,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
Astrocyte,ENO2-211,ENO2,0.2459016393442623,0.5614035087719298,6.997899444146333e-07,2.260364452357696e-06,True,-0.3155018694276675,CT_enriched,0.0278,True,10000.0,30,64,45.3733,133.2303,-1.5333,Dominant,-0.0033024842423019,0.997515641259758,flat,DIEr,Dominant Isoform Erosion,trial_failure_explanation,SR
