Entry	Gene Names	Protein names	Length	Domain [FT]	Binding site	Active site	Repeat	Zinc finger
Q96AE7	TTC17	Tetratricopeptide repeat protein 17 (TPR repeat protein 17)	1141				"REPEAT 295..328; /note=""TPR 1""; REPEAT 619..652; /note=""TPR 2""; REPEAT 689..722; /note=""TPR 3""; REPEAT 1014..1048; /note=""TPR 4""; REPEAT 1051..1084; /note=""TPR 5""; REPEAT 1085..1118; /note=""TPR 6"""	
Q86UE8	TLK2	Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)	772	"DOMAIN 462..741; /note=""Protein kinase""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"BINDING 468..476; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159""; BINDING 491; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00159"""	"ACT_SITE 592; /note=""Proton acceptor"""		
Q9H6S0	YTHDC2	3'-5' RNA helicase YTHDC2 (EC 3.6.4.13) (YTH domain-containing protein 2) (hYTHDC2)	1430	"DOMAIN 38..106; /note=""R3H""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00382""; DOMAIN 203..369; /note=""Helicase ATP-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; DOMAIN 612..784; /note=""Helicase C-terminal""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00542""; DOMAIN 1288..1418; /note=""YTH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00225"""	"BINDING 216..223; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00541""; BINDING 1294..1296; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000250|UniProtKB:Q9Y5A9""; BINDING 1310; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000250|UniProtKB:Q96MU7""; BINDING 1360; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000250|UniProtKB:Q96MU7"""		"REPEAT 506..538; /note=""ANK 1""; REPEAT 539..571; /note=""ANK 2"""	
P98155	VLDLR	Very low-density lipoprotein receptor (VLDL receptor) (VLDL-R)	873	"DOMAIN 31..69; /note=""LDL-receptor class A 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 70..110; /note=""LDL-receptor class A 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 111..151; /note=""LDL-receptor class A 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 152..190; /note=""LDL-receptor class A 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 191..231; /note=""LDL-receptor class A 5""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 237..275; /note=""LDL-receptor class A 6""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 276..314; /note=""LDL-receptor class A 7""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 316..355; /note=""LDL-receptor class A 8""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00124""; DOMAIN 356..395; /note=""EGF-like 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 396..435; /note=""EGF-like 2; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 702..750; /note=""EGF-like 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076"""			"REPEAT 439..480; /note=""LDL-receptor class B 1""; REPEAT 481..524; /note=""LDL-receptor class B 2""; REPEAT 525..567; /note=""LDL-receptor class B 3""; REPEAT 568..611; /note=""LDL-receptor class B 4""; REPEAT 612..654; /note=""LDL-receptor class B 5""; REPEAT 655..697; /note=""LDL-receptor class B 6"""	
P29144	TPP2	Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II)	1249	"DOMAIN 9..508; /note=""Peptidase S8""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01240"""		"ACT_SITE 44; /note=""Charge relay system""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01240""; ACT_SITE 264; /note=""Charge relay system""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01240""; ACT_SITE 449; /note=""Charge relay system""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01240"""		
O95359	TACC2	Transforming acidic coiled-coil-containing protein 2 (Anti-Zuai-1) (AZU-1)	2948	"DOMAIN 2315..2403; /note=""SPAZ"""				
Q86TJ2	TADA2B ADA2B	Transcriptional adapter 2-beta (ADA2-like protein beta) (ADA2-beta)	420	"DOMAIN 65..118; /note=""SANT""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00624"""	"BINDING 9; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 12; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 23; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 26; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 32; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 35; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 45; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228""; BINDING 49; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /ligand_label=""2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228"""			"ZN_FING 4..59; /note=""ZZ-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00228"""
P54577	YARS1 YARS	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	528	"DOMAIN 364..468; /note=""tRNA-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00209"""	"BINDING 39; /ligand=""L-tyrosine""; /ligand_id=""ChEBI:CHEBI:58315""; /evidence=""ECO:0000269|PubMed:14671330, ECO:0007744|PDB:4QBT""; BINDING 39; /ligand=""trans-resveratrol""; /ligand_id=""ChEBI:CHEBI:45713""; /evidence=""ECO:0000269|PubMed:25533949, ECO:0007744|PDB:4Q93""; BINDING 166; /ligand=""L-tyrosine""; /ligand_id=""ChEBI:CHEBI:58315""; /evidence=""ECO:0000269|PubMed:14671330, ECO:0007744|PDB:4QBT""; BINDING 170; /ligand=""L-tyrosine""; /ligand_id=""ChEBI:CHEBI:58315""; /evidence=""ECO:0000269|PubMed:14671330, ECO:0007744|PDB:4QBT""; BINDING 170; /ligand=""trans-resveratrol""; /ligand_id=""ChEBI:CHEBI:45713""; /evidence=""ECO:0000269|PubMed:25533949, ECO:0007744|PDB:4Q93""; BINDING 173; /ligand=""L-tyrosine""; /ligand_id=""ChEBI:CHEBI:58315""; /evidence=""ECO:0000269|PubMed:14671330, ECO:0007744|PDB:4QBT""; BINDING 173; /ligand=""trans-resveratrol""; /ligand_id=""ChEBI:CHEBI:45713""; /evidence=""ECO:0000269|PubMed:25533949, ECO:0007744|PDB:4Q93""; BINDING 188; /ligand=""L-tyrosine""; /ligand_id=""ChEBI:CHEBI:58315""; /evidence=""ECO:0000269|PubMed:14671330, ECO:0007744|PDB:4QBT"""			
Q7Z2W4	ZC3HAV1 ZC3HDC2 PRO1677	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Inactive Poly [ADP-ribose] polymerase 13) (PARP13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	902	"DOMAIN 594..681; /note=""WWE""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00248""; DOMAIN 716..902; /note=""PARP catalytic""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00397"""				"ZN_FING 73..86; /note=""C3H1-type 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00723""; ZN_FING 88..110; /note=""C3H1-type 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00723""; ZN_FING 150..172; /note=""C3H1-type 3""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00723""; ZN_FING 169..193; /note=""C3H1-type 4""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00723"""
O00635	TRIM38 RNF15 RORET	E3 ubiquitin-protein ligase TRIM38 (EC 2.3.2.27) (RING finger protein 15) (Tripartite motif-containing protein 38) (Zinc finger protein RoRet)	465	"DOMAIN 274..465; /note=""B30.2/SPRY""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00548"""	"BINDING 93; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00024""; BINDING 96; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00024""; BINDING 115; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00024""; BINDING 121; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00024"""			"ZN_FING 16..63; /note=""RING-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00175""; ZN_FING 88..129; /note=""B box-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00024"""
Q8IW00	VSTM4 C10orf72	V-set and transmembrane domain-containing protein 4 [Cleaved into: Peptide Lv]	320	"DOMAIN 24..155; /note=""Ig-like"""				
Q9BW92	TARS2 TARSL1	Threonine--tRNA ligase, mitochondrial (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase-like 1)	718	"DOMAIN 55..121; /note=""TGS""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01228"""				
Q5T6F2	UBAP2 KIAA1491	Ubiquitin-associated protein 2 (UBAP-2) (RNA polymerase II degradation factor UBAP2)	1119	"DOMAIN 48..92; /note=""UBA""; /evidence=""ECO:0000255"""				
P51784	USP11 UHX1	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	963	"DOMAIN 76..184; /note=""DUSP""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00613""; DOMAIN 309..930; /note=""USP"""		"ACT_SITE 318; /note=""Nucleophile""; /evidence=""ECO:0000305|PubMed:15314155, ECO:0000305|PubMed:28992046""; ACT_SITE 888; /note=""Proton acceptor""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU10092, ECO:0000255|PROSITE-ProRule:PRU10093"""		
Q6NXT6	TAPT1 CMVFR	Transmembrane anterior posterior transformation protein 1 homolog (Cytomegalovirus partial fusion receptor)	567					
Q2YD98	UVSSA KIAA1530	UV-stimulated scaffold protein A	709		"BINDING 567; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01403, ECO:0000269|PubMed:38316879, ECO:0007744|PDB:8B3D""; BINDING 577; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01403, ECO:0000269|PubMed:38316879, ECO:0007744|PDB:8B3D""; BINDING 585; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01403, ECO:0000269|PubMed:38316879, ECO:0007744|PDB:8B3D""; BINDING 588; /ligand=""Zn(2+)""; /ligand_id=""ChEBI:CHEBI:29105""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01403, ECO:0000269|PubMed:38316879, ECO:0007744|PDB:8B3D"""			"ZN_FING 564..591; /note=""UVSSA-type""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU01403, ECO:0000305|PubMed:38316879"""
A4D1P6	WDR91 HSPC049	WD repeat-containing protein 91	747				"REPEAT 406..445; /note=""WD 1""; REPEAT 448..488; /note=""WD 2""; REPEAT 515..555; /note=""WD 3""; REPEAT 560..599; /note=""WD 4""; REPEAT 602..641; /note=""WD 5""; REPEAT 664..702; /note=""WD 6""; REPEAT 709..747; /note=""WD 7"""	
P13611	VCAN CSPG2	Versican core protein (Chondroitin sulfate proteoglycan core protein 2) (Chondroitin sulfate proteoglycan 2) (Glial hyaluronate-binding protein) (GHAP) (Large fibroblast proteoglycan) (PG-M)	3396	"DOMAIN 21..146; /note=""Ig-like V-type""; DOMAIN 150..245; /note=""Link 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00323""; DOMAIN 251..347; /note=""Link 2""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00323""; DOMAIN 3089..3125; /note=""EGF-like 1""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 3127..3163; /note=""EGF-like 2; calcium-binding""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00076""; DOMAIN 3176..3290; /note=""C-type lectin""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00040""; DOMAIN 3294..3354; /note=""Sushi""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00302"""				
Q96B02	UBE2W UBC16	Ubiquitin-conjugating enzyme E2 W (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme W) (N-terminal E2 ubiquitin-conjugating enzyme) (EC 2.3.2.25) (N-terminus-conjugating E2) (Ubiquitin carrier protein W) (Ubiquitin-conjugating enzyme 16) (UBC-16) (Ubiquitin-protein ligase W)	151	"DOMAIN 3..151; /note=""UBC core""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00388"""		"ACT_SITE 91; /note=""Glycyl thioester intermediate""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00388"""		
Q9Y5A9	YTHDF2 HGRG8	YTH domain-containing family protein 2 (DF2) (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	579	"DOMAIN 410..544; /note=""YTH""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00225"""	"BINDING 416..418; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN""; BINDING 422; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN""; BINDING 432..433; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN""; BINDING 462; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN""; BINDING 486; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN""; BINDING 491; /ligand=""RNA""; /ligand_id=""ChEBI:CHEBI:33697""; /ligand_part=""N(6)-methyladenosine 5'-phosphate residue""; /ligand_part_id=""ChEBI:CHEBI:74449""; /evidence=""ECO:0000269|PubMed:25412658, ECO:0007744|PDB:4RDN"""			
Q8NHH1	TTLL11 C9orf20	Tubulin polyglutamylase TTLL11 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 11)	710	"DOMAIN 128..480; /note=""TTL""; /evidence=""ECO:0000255|PROSITE-ProRule:PRU00568"""	"BINDING 249; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 255..256; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 255; /ligand=""a protein""; /ligand_id=""ChEBI:CHEBI:16541""; /ligand_part=""L-glutamate residue""; /ligand_part_id=""ChEBI:CHEBI:29973""; /ligand_part_note=""L-glutamate acceptor residue in protein target""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 282..285; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 295..297; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 321; /ligand=""L-glutamate""; /ligand_id=""ChEBI:CHEBI:29985""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 343..344; /ligand=""ATP""; /ligand_id=""ChEBI:CHEBI:30616""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 345; /ligand=""L-glutamate""; /ligand_id=""ChEBI:CHEBI:29985""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 346; /ligand=""L-glutamate""; /ligand_id=""ChEBI:CHEBI:29985""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 365; /ligand=""L-glutamate""; /ligand_id=""ChEBI:CHEBI:29985""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 428; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 441; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""1""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 441; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 443; /ligand=""Mg(2+)""; /ligand_id=""ChEBI:CHEBI:18420""; /ligand_label=""2""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8""; BINDING 473; /ligand=""L-glutamate""; /ligand_id=""ChEBI:CHEBI:29985""; /evidence=""ECO:0000250|UniProtKB:A4Q9E8"""			
Q12768	WASHC5 KIAA0196	WASH complex subunit 5 (Strumpellin) (WASH complex subunit strumpellin)	1159					
