gene_name,alt_transcript_name,cell_type,n_changed,changed_aa_start,changed_aa_end,assessment_status,verdict,region_mean_plddt,whole_protein_mean_plddt,region_vs_rest_mean_pae,region_length,ensemble_spread_rmsd,colabfold_vs_esmfold_rmsd,n_ensemble_models,changed_region_mean_local_dist,changed_region_max_local_dist,outside_span_mean_local_dist,anchor_fit_rmsd,n_anchor_residues,error
SPG7,SPG7-223,Astrocyte,709,1,795,scored,low,64.15,64.15,,102.0,1.902,28.449,5.0,28.21,63.96,,30.779,86.0,
FMO5,FMO5-202,OPC,248,278,533,scored,medium,78.08,93.47,11.2,8.0,0.62,3.569,5.0,25.27,38.9,0.83,4.624,285.0,
ACACA,ACACA-226,Inhibitory_neuron,101,2,112,scored,low,30.57,74.16,28.34,16.0,,,1.0,40.06,79.2,27.08,30.647,2245.0,
PADI2,PADI2-203,Astrocyte,453,2,496,scored,low,56.99,80.61,16.93,43.0,1.115,5.513,5.0,44.06,77.53,8.54,22.961,212.0,
DCLK1,DCLK1-208,Inhibitory_neuron,351,2,740,scored,low,73.07,72.97,27.28,421.0,6.47,22.504,5.0,25.74,119.14,68.54,30.939,389.0,
SACM1L,SACM1L-222,Oligodendrocyte,36,544,587,scored,medium,56.84,86.69,24.26,28.0,1.721,3.745,5.0,5.2,10.28,0.56,1.007,551.0,
CHD1,CHD1-205,Excitatory_neuron,2,1369,1370,scored,low,28.32,56.25,27.8,49.0,15.447,,5.0,122.9,128.24,42.83,55.355,1710.0,
GATM,GATM-216,Oligodendrocyte,35,388,423,scored,high,70.23,86.03,18.0,4.0,0.212,0.782,5.0,11.86,13.15,10.18,14.177,388.0,
DCLK1,DCLK1-204,Inhibitory_neuron,307,2,335,scored,low,34.58,76.27,28.51,27.0,2.747,5.677,5.0,79.37,94.93,20.88,30.301,433.0,
ZDHHC3,ZDHHC3-202,Astrocyte,32,251,299,scored,low,63.34,79.79,17.6,76.0,0.515,12.638,5.0,6.09,36.63,1.47,4.374,271.0,
KMT5B,KMT5B-213,OPC,172,2,181,scored,high,81.98,47.39,20.8,8.0,0.019,0.174,5.0,33.0,58.75,31.22,36.526,713.0,
VCP,VCP-217,Microglia,95,695,806,scored,low,39.36,80.67,27.64,39.0,1.82,12.047,5.0,31.3,57.53,8.59,12.44,711.0,
IFNAR1,IFNAR1-216,Astrocyte,167,382,557,scored,medium,68.9,84.25,22.9,9.0,0.496,0.849,5.0,54.15,115.69,4.86,11.999,390.0,
ZDHHC3,ZDHHC3-201,Astrocyte,2,203,204,scored,medium,70.87,82.79,16.86,20.0,1.647,0.596,5.0,9.51,12.78,1.62,2.659,299.0,
POMT2,POMT2-225,OPC,89,632,750,scored,low,26.13,72.96,28.0,143.0,19.383,22.471,5.0,35.71,74.47,3.8,11.739,669.0,
PHF8,PHF8-203,Inhibitory_neuron,101,442,548,scored,medium,61.58,62.02,23.52,6.0,0.025,0.34,5.0,37.08,46.61,49.23,54.575,923.0,
IFNAR1,IFNAR1-205,Astrocyte,287,264,557,scored,low,41.66,84.47,25.86,7.0,0.133,0.478,5.0,23.81,40.56,2.53,5.796,270.0,
CTNNB1,CTNNB1-239,Vascular_cell,1,81,81,scored,low,39.09,78.96,27.86,1.0,0.0,0.0,5.0,7.22,7.22,11.8,19.322,780.0,
GPNMB,GPNMB-202,Excitatory_neuron,1,339,339,scored,low,40.75,76.54,28.97,1.0,0.0,0.0,5.0,35.38,35.38,13.88,20.094,560.0,
ERCC2,ERCC2-203,Excitatory_neuron,20,731,760,scored,low,27.11,77.11,28.9,80.0,3.684,13.567,5.0,31.01,50.61,1.2,5.685,746.0,
MTHFD1,MTHFD1-222,OPC,292,1,856,scored,low,93.29,92.88,6.18,565.0,2.514,18.512,5.0,5.53,53.56,4.18,7.217,642.0,
POMT2,POMT2-240,OPC,363,2,750,scored,low,74.63,74.53,19.79,418.0,4.505,11.265,5.0,12.37,61.85,71.18,14.431,387.0,
GPNMB,GPNMB-215,Excitatory_neuron,1,340,340,scored,low,35.03,75.71,28.5,1.0,0.0,0.0,5.0,30.4,30.4,12.99,19.05,560.0,
SYNJ2,SYNJ2-205,Oligodendrocyte,1369,2,1496,scored,low,59.16,59.1,13.92,135.0,0.442,17.073,5.0,5.96,38.7,13.92,8.022,127.0,
TLK2,TLK2-202,Excitatory_neuron,32,90,123,scored,low,25.48,72.53,27.64,2.0,0.04,0.069,5.0,18.55,18.65,23.65,28.639,718.0,
GABRA2,GABRA2-206,Astrocyte,378,63,451,scored,medium,50.22,71.68,26.77,11.0,1.306,1.904,5.0,24.82,60.43,7.68,14.515,73.0,
POR,POR-201,Oligodendrocyte,47,631,677,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
ALDH1L1,ALDH1L1-205,OPC,101,120,224,scored,low,34.79,90.82,27.08,4.0,0.101,0.393,5.0,13.07,19.69,5.6,6.982,801.0,
PRORP,PRORP-201,OPC,16,330,347,scored,low,44.03,78.2,24.69,2.0,0.01,0.004,5.0,15.33,16.74,8.87,15.212,567.0,
LIG1,LIG1-230,Excitatory_neuron,2,192,193,scored,low,29.12,70.77,28.3,1.0,0.0,0.0,5.0,34.74,34.74,24.52,34.926,917.0,
PAPOLA,PAPOLA-223,OPC,460,280,745,scored,low,44.15,90.73,24.46,6.0,0.039,0.76,5.0,24.64,38.25,1.09,4.192,285.0,
SRSF10,SRSF10-202,Astrocyte,217,2,262,scored,low,48.18,48.14,17.24,113.0,8.549,18.3,5.0,41.08,87.49,36.86,40.27,45.0,
STAT3,STAT3-227,Astrocyte,1,701,701,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
ARID4A,ARID4A-201,Astrocyte,69,1106,1179,scored,medium,68.59,54.32,25.69,5.0,0.108,0.223,5.0,68.28,70.56,44.07,52.333,1188.0,
VCP,VCP-203,Microglia,45,2,51,scored,high,87.04,82.07,21.71,5.0,0.035,0.071,5.0,17.63,24.09,8.33,11.062,761.0,
DNPEP,DNPEP-217,Inhibitory_neuron,14,2,15,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
GAPVD1,GAPVD1-202,Oligodendrocyte,21,558,581,scored,low,27.14,58.78,27.66,3.0,0.204,,5.0,24.9,39.13,31.4,39.769,1439.0,
LIG1,LIG1-202,Excitatory_neuron,31,7,158,scored,low,30.75,72.29,27.43,121.0,17.031,28.115,5.0,57.38,100.81,13.82,31.318,888.0,
CRAT,CRAT-219,Astrocyte,24,533,558,scored,medium,51.17,89.99,24.36,2.0,0.007,0.027,5.0,11.25,16.31,11.75,18.7,602.0,
CTNNB1,CTNNB1-230,Vascular_cell,84,693,781,scored,low,28.92,84.8,27.92,10.0,0.533,2.49,5.0,40.72,53.54,12.78,20.603,697.0,
RARB,RARB-202,Excitatory_neuron,40,2,53,scored,low,33.71,76.97,29.32,59.0,4.856,14.529,5.0,27.24,47.99,20.08,22.23,409.0,
ERCC2,ERCC2-218,Excitatory_neuron,41,2,45,scored,medium,69.5,81.8,14.36,3.0,0.299,0.059,5.0,20.31,26.09,0.76,1.959,719.0,
GPNMB,GPNMB-203,Excitatory_neuron,355,182,560,scored,low,38.45,66.67,21.23,25.0,3.271,5.312,5.0,47.3,81.84,21.86,28.113,205.0,
BIRC6,BIRC6-215,Astrocyte,35,1585,2198,"not scored: model exceeds 3,000 aa QC limit",,,,,,,,,,,,,,
TUT7,TUT7-205,Astrocyte,236,363,1083,scored,low,42.15,55.9,26.95,485.0,29.859,,5.0,57.73,141.45,33.65,52.892,1259.0,
RBL2,RBL2-203,Astrocyte,501,2,1139,scored,low,74.59,74.54,19.61,638.0,0.908,11.688,5.0,7.75,76.33,66.38,13.59,638.0,
SYNJ2,SYNJ2-202,Oligodendrocyte,915,2,983,scored,low,90.17,50.53,23.33,67.0,0.34,7.979,5.0,39.72,71.98,41.91,48.492,581.0,
STAT3,STAT3-215,Astrocyte,10,577,701,scored,low,75.36,80.45,21.98,115.0,0.177,6.94,5.0,3.59,11.29,6.43,9.855,760.0,
IL6ST,IL6ST-203,Microglia,61,423,484,scored,low,48.12,70.18,26.3,1.0,0.0,0.0,5.0,53.68,53.68,38.95,44.26,857.0,
SPG7,SPG7-202,Astrocyte,318,443,795,scored,low,26.77,61.67,27.93,47.0,5.972,12.126,5.0,44.63,82.58,13.38,22.905,477.0,
PAPOLA,PAPOLA-225,OPC,511,204,745,scored,low,38.91,66.08,24.33,35.0,1.501,6.104,5.0,25.05,68.57,3.35,12.041,234.0,
SLC11A2,SLC11A2-229,Inhibitory_neuron,15,544,561,scored,low,32.66,78.83,27.53,24.0,2.937,3.011,5.0,20.2,30.3,7.28,10.995,548.0,
ATP1A3,ATP1A3-207,Inhibitory_neuron,2,2,3,scored,low,29.78,82.74,28.83,6.0,0.228,1.799,5.0,39.54,48.09,2.48,3.713,1013.0,
ALDH1L1,ALDH1L1-202,OPC,397,492,902,scored,low,38.02,89.15,27.77,14.0,1.521,1.866,5.0,32.5,61.34,3.11,7.275,505.0,
SPP1,SPP1-201,Excitatory_neuron,14,59,73,scored,low,36.34,50.71,26.89,1.0,0.0,0.0,5.0,48.89,48.89,36.79,40.064,300.0,
STAT3,STAT3-222,Astrocyte,3,411,413,scored,low,44.62,79.65,24.88,28.0,2.898,8.699,5.0,14.12,20.22,6.14,8.58,770.0,
PRORP,PRORP-202,OPC,372,2,393,scored,medium,67.64,85.71,13.81,20.0,0.213,1.671,5.0,35.44,60.71,6.05,13.865,211.0,
CLK4,CLK4-208,Oligodendrocyte,427,54,481,scored,medium,58.59,61.8,22.85,1.0,0.0,0.0,5.0,103.94,103.94,21.48,27.421,54.0,
GAPVD1,GAPVD1-214,Oligodendrocyte,27,989,1020,scored,low,26.5,58.91,28.13,5.0,0.345,,5.0,32.17,50.81,31.17,41.219,1433.0,
SPP1,SPP1-209,Excitatory_neuron,22,2,31,scored,medium,57.2,50.49,27.06,43.0,1.509,4.105,5.0,42.55,90.98,35.65,38.571,296.0,
LIG1,LIG1-221,Oligodendrocyte,1,158,158,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
ALDH3A2,ALDH3A2-202,Astrocyte,4,481,485,scored,high,76.85,93.37,24.62,8.0,0.031,0.134,5.0,11.57,15.82,1.38,2.329,482.0,
GAPVD1,GAPVD1-206,Oligodendrocyte,2,810,811,scored,low,30.36,57.47,28.08,17.0,4.325,,5.0,88.66,100.49,31.72,39.747,1459.0,
SRSF10,SRSF10-203,Astrocyte,1,147,147,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
SGMS1,SGMS1-206,OPC,401,1,413,scored,high,83.54,83.54,,12.0,0.081,0.646,5.0,18.85,45.89,,22.366,12.0,
GABRA2,GABRA2-215,Astrocyte,88,2,357,scored,low,83.29,75.24,20.21,310.0,5.738,14.64,5.0,9.0,59.16,22.97,17.49,367.0,
GAPVD1,GAPVD1-204,Oligodendrocyte,963,481,1460,scored,low,35.62,82.26,22.49,17.0,2.256,7.735,5.0,62.73,96.27,3.27,13.432,497.0,
RGS12,RGS12-202,OPC,648,2,692,scored,low,35.64,57.72,28.41,43.0,9.326,18.279,5.0,91.01,159.95,35.84,45.125,799.0,
TLK2,TLK2-201,Excitatory_neuron,5,374,378,scored,low,37.83,69.72,28.76,18.0,0.907,3.333,5.0,35.49,46.07,22.61,27.11,750.0,
PIK3CA,PIK3CA-205,Inhibitory_neuron,77,979,1068,scored,high,72.12,87.83,15.0,22.0,0.069,2.251,5.0,15.38,31.53,1.7,3.961,992.0,
FMO5,FMO5-204,OPC,408,109,533,scored,low,55.13,88.7,18.23,18.0,8.262,10.322,5.0,31.96,58.96,5.0,13.589,125.0,
HGF,HGF-205,Inhibitory_neuron,518,209,728,scored,low,42.93,87.28,24.09,2.0,0.006,0.019,5.0,13.29,18.16,3.5,4.17,210.0,
SYNJ2,SYNJ2-207,Oligodendrocyte,237,2,241,scored,high,88.71,61.97,16.75,3.0,0.016,,5.0,32.99,44.39,15.73,24.318,1259.0,
DCLK1,DCLK1-205,Inhibitory_neuron,684,2,740,scored,low,64.71,64.55,22.75,55.0,5.411,21.627,5.0,39.25,86.26,58.08,42.99,56.0,
RGS12,RGS12-204,OPC,71,1373,1447,scored,low,36.22,50.91,27.68,4.0,0.252,,5.0,48.38,84.02,46.64,53.973,1376.0,
HGF,HGF-209,Inhibitory_neuron,5,162,166,scored,unknown,,,,,,,,,,,,,no alt-local span mapped from canonical coordinates
BIRC6,BIRC6-213,Astrocyte,1031,1,4857,"not scored: model exceeds 3,000 aa QC limit",,,,,,,,,,,,,,
KMT5B,KMT5B-206,OPC,492,392,885,scored,low,40.16,71.75,28.2,2.0,0.037,0.052,5.0,30.87,32.51,18.16,21.248,393.0,
